Species,Body_size_mm,Body_size_mm_male,Body_size_mm_female,Egg_size,Litter_size_min_n,Litter_size_max_n,Development_mode,Breeding_site,Adult_microhabitat,Primary_larval_habitat,Reproductive_cycle,Parent_care,Fertilization_type,Habitat_specificity,iucn2020_binomial
Amolops aniqiaoensis,52,,,,,,1,1,3,2,0,0,1,2,Amolops aniqiaoensis
Amolops bellulus,55.75,48,64,,,,1,1,2,2,0,0,1,2,Amolops bellulus
Amolops chunganensis,43.15,36.5,49,2.8,436,437,1,1,3,2,0,0,1,2,Amolops chunganensis
Amolops daiyunensis,51.95,49,55,2.5,196,253,1,1,2,2,0,0,1,2,Amolops daiyunensis
Amolops gerbillus,33,,,,,,1,1,2,2,0,0,1,3,Amolops gerbillus
Amolops granulosus,45.85,40,52,2.75,,,1,1,3,2,0,0,1,2,Amolops granulosus
Amolops hainanensis,76.65,80,73,2.7,,,1,1,2,2,1,0,1,2,Amolops hainanensis
Amolops hongkongensis,39.5,39,40,2,,,1,1,2,2,0,0,1,2,Amolops hongkongensis
Amolops lifanensis,62.65,54,71,4,,,1,1,2,2,0,0,1,2,Amolops lifanensis
Amolops loloensis,66.25,58,74,4,153,153,1,1,2,2,0,0,1,3,Amolops loloensis
Amolops mantzorum,58.65,53,64,2.5,,,1,1,2,2,0,0,1,3,Amolops mantzorum
Amolops medogensis,93.8,95,92.6,,,,1,1,2,2,0,0,1,2,Amolops medogensis
Amolops monticola,73.65,41,79.5,,,,1,1,2,2,0,0,1,2,Amolops monticola
Amolops ricketti,56.75,56,58,1.9,730,1086,1,1,2,2,0,0,1,2,Amolops ricketti
Amolops torrentis,33.55,30,37,2.75,154,154,1,1,2,2,1,0,1,3,Amolops torrentis
Amolops viridimaculatus,83.45,77,90,2.5,,,1,1,2,2,0,0,1,2,Amolops viridimaculatus
Amolops wuyiensis,44.85,41,49,2,661,732,1,1,2,2,0,0,1,3,Amolops wuyiensis
Andrias davidianus,457.75,532.5,383,6.5,500,500,1,1,1,2,1,1,1,2,Andrias davidianus
Atympanophrys gigantica,101.6,94,112.5,3.2,1192,1192,1,1,1,2,0,0,1,2,Megophrys gigantica
Atympanophrys nankiangensis,48.85,,49,2,,,1,1,1,2,0,0,1,2,Megophrys nankiangensis
Atympanophrys shapingensis,85.35,77,94,3.2,,,1,1,2,2,0,0,1,1,Megophrys shapingensis
Babina adenopleura,56.1,55,57,1.4,385,586,1,1,2,1,1,0,1,6,Nidirana adenopleura
Babina daunchina,47.6,46,49,2,100,100,0,1,2,1,1,0,1,3,Nidirana daunchina
Babina hainanensis,33.3,33,,,,,1,1,2,2,0,0,1,4,Nidirana hainanensis
Babina lini,56.75,54,60,1.8,,,1,1,1,1,0,0,1,2,Nidirana lini
Babina okinavana,39,37.75,42.5,2,,,0,1,3,1,0,0,1,4,Nidirana okinavana
Babina pleuraden,54.95,55,55,1.75,600,600,1,1,1,1,1,0,1,3,Nidirana pleuraden
