Order,Family,Genus,Species,Body_mass_grams,Body_size_mm,Age_sexual_maturity_years,Size_sexual_maturity_mm,max_longevity_years,Egg_mass_grams,Clutch_size,Birth_weight_grams,Offspring_size,Reproductive_output,Incubation_time_days,larval_period_days,metamorphosis_size_mm,Databases & references
Anura,Allophrynidae,Allophryne,Allophryne ruthveni,31,31,NA,NA,NA,NA,300,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Alytidae,Alytes,Alytes cisternasii,6.1,50,2,6,6,0.024,120,NA,2.6,4,26,145,25,Trochet et al. 2014 & Gossenbacher 2012 & Oliveira et al. 2017
Anura,Alytidae,Alytes,Alytes dickhilleni,NA,55,2,NA,NA,NA,40,NA,NA,1,NA,NA,25,Trochet et al. 2014 & Oliveira et al. 2017
Anura,Alytidae,Alytes,Alytes maurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,Oliveira et al. 2017
Anura,Alytidae,Alytes,Alytes muletensis,2.31,40,3,30,NA,NA,13.5,NA,5.4,1,31,NA,NA,Trochet et al. 2014 & Gossenbacher 2012 & Oliveira et al. 2017
Anura,Alytidae,Alytes,Alytes obstetricans,13.4,55,2.5,7,7,0.0405,112,1.325,2.6,4,30.77777778,90,26.5,Trochet et al. 2014 & Gossenbacher 2012 & Green et al. 2007
Anura,Alytidae,Discoglossus,Discoglossus galganoi,21.8,80,2,9,9,NA,900,NA,1.5,6,NA,50,NA,Trochet et al. 2014 & Gossenbacher 2012 & Oliveira et al. 2017
Anura,Alytidae,Discoglossus,Discoglossus jeanneae,NA,60,NA,NA,NA,NA,1500,NA,NA,1,NA,NA,NA,Trochet et al. 2014 & Oliveira et al. 2017
Anura,Alytidae,Discoglossus,Discoglossus montalentii,NA,65,NA,NA,NA,NA,1000,NA,1.5,1,NA,NA,10,Trochet et al. 2014 & Oliveira et al. 2017
Anura,Alytidae,Discoglossus,Discoglossus nigriventer,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Alytidae,Discoglossus,Discoglossus pictus,22.05,80,3.5,25,11,NA,760,NA,1,1,2,30,15.25,Trochet et al. 2014 & Gossenbacher 2012 & Oliveira et al. 2017
