Species,Family,Clade,type_of_care,number_of_parents,care_duration,care_duration_in_males,care_in_males_binary,care_duration_in_females,care_in_females_binary,protection,protection_in_males,protection_in_females,nourishment_by_females,nourishment_by_females_binary,terrestrial_reproduction,direct_development,female_SVL_,male_SVL,average_male_female_SVL,SSD,Egg_diameter,Clutch_size,Clutch_volume
Acanthixalus spinosus,Hyperoliidae,Afrobatrachia,no care,0,0,0,0,0,0,0,0,0,0,0,1,absent,34.1,NA,NA,NA,1.995262315,9,28.26
Acris crepitans,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,25.6,22.8,24.2,_0.05,1.445439771,252.25,405.86
Acris gryllus,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,24.5,22,23.25,_0.05,1.174897555,120.25,130.33
Adelotus brevis,Limnodynastidae,Australobatrachia,male_only care ,1,1,1,1,0,0,2,2,0,0,0,1,absent,32.03,35.5,33.76,0.04,1.905460718,270,765.14
Adelphobates castaneoticus,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,1,absent,20.5,NA,NA,NA,1.995262315,7,21.98
Adelphobates quinquevittatus,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,NA,absent,17.3,16.6,16.95,_0.02,NA,NA,NA
Adenomera andreae,Leptodactylidae,Diphyabatracea,male_only care ,1,1,1,1,1,1,1,1,0,2,1,1,absent,24.05,23.3,23.68,_0.01,3.01995172,12,84.78
Adenomera hylaedactyla,Leptodactylidae,Diphyabatracea,male_only care ,1,1,1,1,1,1,1,1,0,2,1,1,absent,24.85,22.7,23.78,_0.04,2.884031503,14.5,95.73
Agalychnis annae,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,1,absent,69.6,NA,NA,NA,3.388441561,104.5,956.68
Agalychnis callidryas,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,1,absent,64.1,48.2,56.15,_0.12,3.467368505,193.25,1805.62
Agalychnis dacnicolor,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,1,absent,83.5,67.6,75.55,_0.09,2.951209227,272.75,1863.28
