class,family,iucn2020_binomial,min_clutch_size_from_Feiliang,max_clutch_size_from_Feiliang,earliest_breeding_month_from_Feiliang,latest_breeding_month_from_Feiliang
Gymnophiona,Ichthyophiidae,Ichthyophis bannanicus,,,,
 Caudata,Hynobiidae,Hynobius amjiensis,,,,
 Caudata,Hynobiidae,Hynobius arisanensis,,,,
 Caudata,Hynobiidae,Hynobius chinensis,,,,
 Caudata,Hynobiidae,Hynobius formosanus,,,,
 Caudata,Hynobiidae,Hynobius fucus,,,,
 Caudata,Hynobiidae,Hynobius glacialis,,,,
 Caudata,Hynobiidae,Hynobius guabangshanensis,,,,
 Caudata,Hynobiidae,Hynobius leechii,,,,
 Caudata,Hynobiidae,Hynobius maoershanensis,,,,
 Caudata,Hynobiidae,Hynobius sonani,,,,
 Caudata,Hynobiidae,Hynobius yiwuensis,,,,
 Caudata,Hynobiidae,Pachyhynobius shangchengensis,,,,
 Caudata,Hynobiidae,Pseudohynobius flavomaculatus,,,,
 Caudata,Hynobiidae,Pseudohynobius guizhouensis,,,,
 Caudata,Hynobiidae,Pseudohynobius jinfo,,,,
 Caudata,Hynobiidae,Pseudohynobius kuankuoshuiensis,,,,
 Caudata,Hynobiidae,Pseudohynobius puxiongensis,,,,
 Caudata,Hynobiidae,Pseudohynobius shuichengensis,,,,
 Caudata,Hynobiidae,Liua shihi,,,,
 Caudata,Hynobiidae,Liua tsinpaensis,,,,
 Caudata,Hynobiidae,Ranodon sibiricus,,,,
 Caudata,Hynobiidae,Salamandrella keyserlingii,,,,
 Caudata,Hynobiidae,Salamandrella tridactyla,,,,
 Caudata,Hynobiidae,Onychodactylus zhangyapingi,,,,
 Caudata,Hynobiidae,Onychodactylus zhaoermii,,,,
 Caudata,Hynobiidae,Batrachuperus karlschmidti,,,,
 Caudata,Hynobiidae,Batrachuperus londongensis,,,,
 Caudata,Hynobiidae,Batrachuperus pinchonii,,,,
 Caudata,Hynobiidae,Batrachuperus taibaiensis,,,,
 Caudata,Hynobiidae,Batrachuperus tibetanus,,,,
 Caudata,Hynobiidae,Batrachuperus yenyuanensis,,,,
 Caudata,Hynobiidae,Batrachuperus daochengensis,,,,
 Caudata,Cryptobranchidae,Andrias davidianus,,,,
 Caudata,Cryptobranchidae,Andrias sligoi,,,,
 Caudata,Salamandridae,Tylototriton asperrimus,,,,
 Caudata,Salamandridae,Tylototriton broadoridgus,,,,
 Caudata,Salamandridae,Tylototriton dabienicus,,,,
 Caudata,Salamandridae,Tylototriton kweichowensis,,,,
 Caudata,Salamandridae,Tylototriton liuyangensis,,,,
