Species_CooneyTaxonomy,Order,Family,chickPC1,chickPC2,ChickPCAscores,ChickPCACloseRelative,DistanceToSpeciesChickPCA,hatchlingPC1,hatchlingPC2,HatchlingPCAscores,DistanceToSpeciesHatchlingPCA,HatchlingPCACloseRelative,chickPC1FamilyEstimate,chickPC2FamilyEstimate,HatchlingPC1FamilyEstimate,HatchlingPC2FamilyEstimate
Accipiter_albogularis,ACCIPITRIFORMES,Accipitridae,-0.578863373,0.019443441,Estimated,Accipiter_fasciatus,11.50940125,0.659994262,1.456903485,Estimated,11.50940125,Accipiter_fasciatus,0.579685464,-0.198045453,1.106282383,1.424100277
Accipiter_badius,ACCIPITRIFORMES,Accipitridae,-0.516590992,0.034948044,RealData,,,0.659994262,1.456903485,RealData,,,0.579685464,-0.198045453,1.106282383,1.424100277
Accipiter_bicolor,ACCIPITRIFORMES,Accipitridae,-0.578863373,0.019443441,Estimated,Accipiter_cooperii,4.60437127,0.659994262,1.456903485,Estimated,4.60437127,Accipiter_cooperii,0.579685464,-0.198045453,1.106282383,1.424100277
Accipiter_brachyurus,ACCIPITRIFORMES,Accipitridae,-0.578863373,0.019443441,Estimated,Accipiter_striatus,4.715555953,0.659994262,1.456903485,Estimated,4.715555953,Accipiter_striatus,0.579685464,-0.198045453,1.106282383,1.424100277
Accipiter_brevipes,ACCIPITRIFORMES,Accipitridae,-0.578863373,0.019443441,Estimated,Circus_macrourus,18.39032762,0.659994262,1.456903485,Estimated,18.39032762,Circus_macrourus,0.579685464,-0.198045453,1.106282383,1.424100277
Accipiter_butleri,ACCIPITRIFORMES,Accipitridae,-0.578863373,0.019443441,Estimated,Circus_macrourus,18.39032762,0.659994262,1.456903485,Estimated,18.39032762,Circus_macrourus,0.579685464,-0.198045453,1.106282383,1.424100277
Accipiter_castanilius,ACCIPITRIFORMES,Accipitridae,-0.578863373,0.019443441,Estimated,Accipiter_novaehollandiae,3.38311127,0.659994262,1.456903485,Estimated,3.38311127,Accipiter_novaehollandiae,0.579685464,-0.198045453,1.106282383,1.424100277
Accipiter_chilensis,ACCIPITRIFORMES,Accipitridae,-0.578863373,0.019443441,Estimated,Erythrotriorchis_radiatus,10.91977748,0.659994262,1.456903485,Estimated,10.91977748,Erythrotriorchis_radiatus,0.579685464,-0.198045453,1.106282383,1.424100277
Accipiter_chionogaster,ACCIPITRIFORMES,Accipitridae,-0.516590992,0.034948044,Estimated,Accipiter_badius,5.558974086,0.659994262,1.456903485,Estimated,5.558974086,Accipiter_badius,0.579685464,-0.198045453,1.106282383,1.424100277
Accipiter_cirrocephalus,ACCIPITRIFORMES,Accipitridae,-0.578863373,0.019443441,Estimated,Erythrotriorchis_radiatus,6.066724961,0.659994262,1.456903485,Estimated,6.066724961,Erythrotriorchis_radiatus,0.579685464,-0.198045453,1.106282383,1.424100277
Accipiter_collaris,ACCIPITRIFORMES,Accipitridae,-0.578863373,0.019443441,Estimated,Accipiter_novaehollandiae,15.26937861,0.659994262,1.456903485,Estimated,15.26937861,Accipiter_novaehollandiae,0.579685464,-0.198045453,1.106282383,1.424100277
Accipiter_cooperii,ACCIPITRIFORMES,Accipitridae,-0.578863373,0.019443441,RealData,,,0.659994262,1.456903485,RealData,,,0.579685464,-0.198045453,1.106282383,1.424100277
Accipiter_erythrauchen,ACCIPITRIFORMES,Accipitridae,-0.578863373,0.019443441,Estimated,Erythrotriorchis_radiatus,10.91977748,0.659994262,1.456903485,Estimated,10.91977748,Erythrotriorchis_radiatus,0.579685464,-0.198045453,1.106282383,1.424100277
Accipiter_erythronemius,ACCIPITRIFORMES,Accipitridae,-0.578863373,0.019443441,Estimated,Accipiter_striatus,3.237649418,0.659994262,1.456903485,Estimated,3.237649418,Accipiter_striatus,0.579685464,-0.198045453,1.106282383,1.424100277
Accipiter_erythropus,ACCIPITRIFORMES,Accipitridae,-0.578863373,0.019443441,Estimated,Circus_macrourus,23.10476908,0.659994262,1.456903485,Estimated,23.10476908,Circus_macrourus,0.579685464,-0.198045453,1.106282383,1.424100277
Accipiter_fasciatus,ACCIPITRIFORMES,Accipitridae,-0.578863373,0.019443441,RealData,,,0.659994262,1.456903485,RealData,,,0.579685464,-0.198045453,1.106282383,1.424100277
Accipiter_francesiae,ACCIPITRIFORMES,Accipitridae,-0.578863373,0.019443441,Estimated,Circus_macrourus,18.38394705,0.659994262,1.456903485,Estimated,18.38394705,Circus_macrourus,0.579685464,-0.198045453,1.106282383,1.424100277
Accipiter_gentilis,ACCIPITRIFORMES,Accipitridae,-0.516590992,0.034948044,Estimated,Accipiter_badius,6.456237354,0.659994262,1.456903485,Estimated,6.456237354,Accipiter_badius,0.579685464,-0.198045453,1.106282383,1.424100277
Accipiter_griseiceps,ACCIPITRIFORMES,Accipitridae,-0.578863373,0.019443441,Estimated,Accipiter_cooperii,1.96696668,0.659994262,1.456903485,Estimated,1.96696668,Accipiter_cooperii,0.579685464,-0.198045453,1.106282383,1.424100277
Accipiter_gularis,ACCIPITRIFORMES,Accipitridae,-0.578863373,0.019443441,Estimated,Erythrotriorchis_radiatus,6.066724961,0.659994262,1.456903485,Estimated,6.066724961,Erythrotriorchis_radiatus,0.579685464,-0.198045453,1.106282383,1.424100277
Accipiter_gundlachi,ACCIPITRIFORMES,Accipitridae,-0.578863373,0.019443441,Estimated,Accipiter_fasciatus,3.460513288,0.659994262,1.456903485,Estimated,3.460513288,Accipiter_fasciatus,0.579685464,-0.198045453,1.106282383,1.424100277
Accipiter_haplochrous,ACCIPITRIFORMES,Accipitridae,-0.578863373,0.019443441,Estimated,Accipiter_novaehollandiae,15.26937861,0.659994262,1.456903485,Estimated,15.26937861,Accipiter_novaehollandiae,0.579685464,-0.198045453,1.106282383,1.424100277
Accipiter_henicogrammus,ACCIPITRIFORMES,Accipitridae,-0.578863373,0.019443441,Estimated,Accipiter_fasciatus,4.136202048,0.659994262,1.456903485,Estimated,4.136202048,Accipiter_fasciatus,0.579685464,-0.198045453,1.106282383,1.424100277
Accipiter_henstii,ACCIPITRIFORMES,Accipitridae,-0.516590992,0.034948044,Estimated,Accipiter_badius,1.088214657,0.659994262,1.456903485,Estimated,1.088214657,Accipiter_badius,0.579685464,-0.198045453,1.106282383,1.424100277
Accipiter_imitator,ACCIPITRIFORMES,Accipitridae,-0.578863373,0.019443441,Estimated,Accipiter_novaehollandiae,3.38311127,0.659994262,1.456903485,Estimated,3.38311127,Accipiter_novaehollandiae,0.579685464,-0.198045453,1.106282383,1.424100277
Accipiter_luteoschistaceus,ACCIPITRIFORMES,Accipitridae,-0.516590992,0.034948044,Estimated,Accipiter_badius,2.504008246,0.659994262,1.456903485,Estimated,2.504008246,Accipiter_badius,0.579685464,-0.198045453,1.106282383,1.424100277
Accipiter_madagascariensis,ACCIPITRIFORMES,Accipitridae,-0.578863373,0.019443441,Estimated,Circus_macrourus,18.39032762,0.659994262,1.456903485,Estimated,18.39032762,Circus_macrourus,0.579685464,-0.198045453,1.106282383,1.424100277
Accipiter_melanochlamys,ACCIPITRIFORMES,Accipitridae,-0.578863373,0.019443441,Estimated,Circus_macrourus,18.39032762,0.659994262,1.456903485,Estimated,18.39032762,Circus_macrourus,0.579685464,-0.198045453,1.106282383,1.424100277
Accipiter_melanoleucus,ACCIPITRIFORMES,Accipitridae,-0.578863373,0.019443441,Estimated,Circus_macrourus,18.39032762,0.659994262,1.456903485,Estimated,18.39032762,Circus_macrourus,0.579685464,-0.198045453,1.106282383,1.424100277
Accipiter_meyerianus,ACCIPITRIFORMES,Accipitridae,-0.578863373,0.019443441,Estimated,Circus_macrourus,18.38394705,0.659994262,1.456903485,Estimated,18.38394705,Circus_macrourus,0.579685464,-0.198045453,1.106282383,1.424100277
Accipiter_minullus,ACCIPITRIFORMES,Accipitridae,-0.578863373,0.019443441,Estimated,Accipiter_cooperii,4.60437127,0.659994262,1.456903485,Estimated,4.60437127,Accipiter_cooperii,0.579685464,-0.198045453,1.106282383,1.424100277
Accipiter_nanus,ACCIPITRIFORMES,Accipitridae,-0.578863373,0.019443441,Estimated,Accipiter_cooperii,6.866336356,0.659994262,1.456903485,Estimated,6.866336356,Accipiter_cooperii,0.579685464,-0.198045453,1.106282383,1.424100277
Accipiter_nisus,ACCIPITRIFORMES,Accipitridae,-0.616628035,1.317903178,RealData,,,0.659994262,1.456903485,RealData,,,0.579685464,-0.198045453,1.106282383,1.424100277
Accipiter_novaehollandiae,ACCIPITRIFORMES,Accipitridae,-0.578863373,0.019443441,RealData,,,0.659994262,1.456903485,RealData,,,0.579685464,-0.198045453,1.106282383,1.424100277
Accipiter_ovampensis,ACCIPITRIFORMES,Accipitridae,-0.578863373,0.019443441,Estimated,Accipiter_fasciatus,0.347052866,0.659994262,1.456903485,Estimated,0.347052866,Accipiter_fasciatus,0.579685464,-0.198045453,1.106282383,1.424100277
Accipiter_poliocephalus,ACCIPITRIFORMES,Accipitridae,-0.578863373,0.019443441,Estimated,Circus_macrourus,18.39032762,0.659994262,1.456903485,Estimated,18.39032762,Circus_macrourus,0.579685464,-0.198045453,1.106282383,1.424100277
Accipiter_poliogaster,ACCIPITRIFORMES,Accipitridae,-0.578863373,0.019443441,Estimated,Circus_macrourus,23.10476908,0.659994262,1.456903485,Estimated,23.10476908,Circus_macrourus,0.579685464,-0.198045453,1.106282383,1.424100277
Accipiter_princeps,ACCIPITRIFORMES,Accipitridae,-0.578863373,0.019443441,Estimated,Accipiter_cooperii,4.60437127,0.659994262,1.456903485,Estimated,4.60437127,Accipiter_cooperii,0.579685464,-0.198045453,1.106282383,1.424100277
Accipiter_rhodogaster,ACCIPITRIFORMES,Accipitridae,-0.578863373,0.019443441,Estimated,Circus_macrourus,18.38394705,0.659994262,1.456903485,Estimated,18.38394705,Circus_macrourus,0.579685464,-0.198045453,1.106282383,1.424100277
