Species,Adult_survival,Age_at_first_reproduction,Maximum_longevity
Struthio_camelus,0.87,3.65,41.93
Struthio_molybdophanes,0.87,3.5,50
Rhea_americana,0.31,2.07,23.1
Rhea_pennata,0.33,2.22,29.51
Rhea_tarapacensis,0.33,2.5,50
Nothocercus_julius,0.84,2.12,16.35
Nothocercus_bonapartei,0.74,1.86,14.85
Nothocercus_nigrocapillus,0.76,1.89,16.83
Tinamus_tao,0.8,2.23,18.16
Tinamus_solitarius,0.62,1.53,14.63
Tinamus_osgoodi,0.87,2.81,21.11
Tinamus_major,0.81,2.21,17.08
Tinamus_guttatus,0.71,1.94,16.09
Crypturellus_berlepschi,0.83,2.01,15.67
Crypturellus_cinereus,0.81,2.4,17.81
Crypturellus_ptaritepui,0.81,1.92,15.1
Crypturellus_soui,0.79,1.9,13.96
Crypturellus_obsoletus,0.77,1.87,15.19
Crypturellus_undulatus,0.74,2.02,16.22
Crypturellus_strigulosus,0.78,1.94,14.97
Crypturellus_duidae,0.82,1.94,15.02
Crypturellus_erythropus,0.82,2.14,15.93
Crypturellus_noctivagus,0.76,1.93,17.37
Crypturellus_atrocapillus,0.81,1.96,15.73
Crypturellus_occidentalis,0.81,2.91,25.31
Crypturellus_cinnamomeus,0.81,2.08,16.31
Crypturellus_transfasciatus,0.76,1.78,13.5
Crypturellus_boucardi,0.77,1.87,14.99
Crypturellus_kerriae,0.81,1.92,15.15
Crypturellus_variegatus,0.82,2.45,17.7
Crypturellus_brevirostris,0.82,1.92,14.96
Crypturellus_bartletti,0.79,1.74,13.71
Crypturellus_casiquiare,0.82,1.92,14.93
Crypturellus_parvirostris,0.68,1.52,13.67
Crypturellus_tataupa,0.73,1.63,13.26
Rhynchotus_rufescens,0.84,2.39,18.8
Rhynchotus_maculicollis,0.83,2.21,17.94
Nothoprocta_taczanowskii,0.81,1.98,15.84
Nothoprocta_ornata,0.67,1.62,15.62
Nothoprocta_perdicaria,0.7,1.62,14.69
Nothoprocta_cinerascens,0.57,1.34,11.49
Nothoprocta_pentlandii,0.63,1.41,13.77
Nothoprocta_curvirostris,0.81,1.89,14.8
Nothura_boraquira,0.76,1.78,7.25
Nothura_minor,0.76,1.61,6.21
Nothura_darwinii,0.72,1.6,7.17
Nothura_maculosa,0.72,1.62,7.1
Nothura_chacoensis,0.77,1.71,6.64
Taoniscus_nanus,0.69,1.33,10.51
Eudromia_elegans,0.72,1.8,18.14
Eudromia_formosa,0.76,1.99,18.31
Tinamotis_pentlandii,0.71,1.77,16.64
Tinamotis_ingoufi,0.46,1.14,13.8
Casuarius_casuarius,0.91,4,32.38
Casuarius_bennetti,0.91,3.83,30.75
Casuarius_unappendiculatus,0.93,3.85,29.46
