iucn_2021_binomial,Species,China_Red_List,IUCN_Red_List,Body_size_mm,Clutch_size_n,Trophic_level,Habitat_specificity,Geographic_range_size_km2,Dispersal_ratio_dp,Nest_type,Nest_site,Flocking_tendency,Migrant_status,Hunting_vulnerability
Gavia_stellata,Gavia_stellata,0,0,631.5,1,6,2,181.16,13.16,1,5,1,2,0
Gavia_arctica,Gavia_arctica,0,0,686.15,1.5,6,5,152.12,11.13,1,4,1,2,0
Tachybaptus_ruficollis,Tachybaptus_ruficollis,0,0,158.15,5.5,6,2,961.58,18.92,1,4,1,0,0
Podiceps_grisegena,Podiceps_grisegena,1,0,513.75,2.5,6,2,352.85,18.17,1,4,0,2,0
Podiceps_cristatus,Podiceps_cristatus,0,0,512,2.5,6,6,959.02,10.09,1,4,0,2,0
Podiceps_auritus,Podiceps_auritus,1,0,376.5,2.5,6,2,189.26,19.27,1,4,0,2,0
Podiceps_nigricollis,Podiceps_nigricollis,0,0,196,5,6,5,838.81,18.91,1,4,1,2,0
Phoebastria_albatrus,Phoebastria_albatrus,1,1,925,1,6,1,19.21,18.2,1,5,0,2,0
Pelecanus_onocrotalus,Pelecanus_onocrotalus,3,0,1575,1.5,6,3,358.72,19.13,1,5,1,2,1
Pelecanus_philippensis,Pelecanus_philippensis,3,1,1250,3.5,6,2,310.35,16.17,1,1,1,2,1
Pelecanus_crispus,Pelecanus_crispus,3,1,1700,3.5,6,7,661.86,31.27,1,1,1,1,1
Sula_dactylatra,Sula_dactylatra,0,0,800,1,6,1,16.01,35.7,1,5,1,1,0
Sula_sula,Sula_sula,1,0,715,1,6,1,15.12,21.89,1,3,1,2,0
Sula_leucogaster,Sula_leucogaster,0,0,690,1,6,3,72.88,38.18,1,5,1,2,0
Phalacrocorax_carbo,Phalacrocorax_carbo,0,0,798,2,6,5,961.58,17.36,1,1,1,2,1
Phalacrocorax_pelagicus,Phalacrocorax_pelagicus,1,0,739.15,3.5,6,2,138.62,11.97,1,5,1,1,0
Phalacrocorax_urile,Phalacrocorax_urile,0,0,730,3.5,6,2,12.8,15.8,1,5,0,2,0
Phalacrocorax_niger,Phalacrocorax_niger,0,0,505,2,6,5,39,16.19,1,5,1,1,0
Fregata_minor,Fregata_minor,0,0,900,1,6,1,81.58,53.53,1,3,1,1,0
Ardea_cinerea,Ardea_cinerea,0,0,888,5,6,6,961.58,38.32,1,5,1,1,1
Ardea_purpurea,Ardea_purpurea,0,0,901.5,2.5,6,5,606.69,36.2,1,5,0,1,0
Ardea_alba,Ardea_alba,0,0,888.15,2,6,5,819.2,36.27,1,1,1,1,1
Ardea_intermedia,Egretta_intermedia,0,0,666.5,2,6,6,291.12,39.68,1,3,1,2,1
Egretta_garzetta,Egretta_garzetta,0,0,596.5,2.5,6,8,295.09,35.1,1,1,0,1,1
Egretta_eulophotes,Egretta_eulophotes,1,1,567.5,3,6,7,378.33,32.17,1,3,1,1,2
Egretta_sacra,Egretta_sacra,0,0,675,3.5,6,1,71.86,33.87,1,1,0,1,0
Bubulcus_ibis,Bubulcus_ibis,0,0,509.75,6,6,5,955.92,33.99,1,1,1,1,1
Ardeola_bacchus,Ardeola_bacchus,0,0,262.15,3,6,5,908.62,32.01,1,1,1,1,1
Butorides_striata,Butorides_striata,0,0,231.15,5,6,5,381.13,19.81,1,1,1,2,1
Nycticorax_nycticorax,Nycticorax_nycticorax,0,0,515,2,6,6,821.36,31.92,1,1,0,0,1
