internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
12775,Manouria impressa,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,TESTUDINIDAE,Manouria,impressa,,,,,"(Günther, 1882)",
13039,Melanochelys trijuga,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,GEOEMYDIDAE,Melanochelys,trijuga,,,,,"(Schweigger, 1812)","Six or seven subspecies are widely recognised: <em>Melanochelys trijuga trijuga</em> (Schweigger, 1812); <em>M. t. coronata</em> (Anderson, 1879); <em>M. t. edeniana</em> (Theobald, 1876); <em>M. t. indopeninsularis</em> (Annandale ,1913); <em>M. t. parkeri</em> (Deraniyagala, 1939); <em>M. t. thermalis</em> (Lesson, 1830).&#160;Subspecies <em>wiroti</em> (Reimann in Nutaphand, 1979) was synonymized with<em> M. t. edeniana.&#160;</em>The colour and size is considered as criteria for subspecies differentiation (Deraniyagala 1939, Das 1995, Das and Bhupathy 2009). The head of <em>M. trijuga thermalis</em> is highly ornamented with either red, orange, or yellow spots or blotches. During a study of 76 live <em>M. t. thermalis</em> from 19 different localities in Sri Lanka a high percentage (76.%) of specimens had orange, red, yellow and brown patches on the head. Head ornamentation was common and distinct in young (Abeysekera <em>et al</em>. 2015).<br/><br/>There are many Sinhala names for the species which vary according to the province. However, the widely used name is the Gal Ibbā, (= rock terrapin). The others are Goo Ibbā (= ordure terrapin), Diya kukula (= water fowl), Thumba Ibbā (= small terrapin), valan Ibbā (= pot terrapin) and mada kakkutta (= mud crab).&#160;In Tamil it is known as Karuppu Amai (= Black terrapin), Kal amai (= rock terrapin), Pee amai (= ordure terrapin), Tanni amai (= water terrapin)."
136056,Zhangixalus yinggelingensis,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Zhangixalus,yinggelingensis,,,,,"(Chou, Lau &amp; Chan, 2007)",
14765,Nilssonia formosa,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,TRIONYCHIDAE,Nilssonia,formosa,,,,,"(Gray, 1869)",
15026,Mauremys sinensis,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,GEOEMYDIDAE,Mauremys,sinensis,,,,,"(Gray, 1834)",Generally considered to consist of at least two morphologically distinguishable lineages.
157250,Phrynocephalus mystaceus,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,AGAMIDAE,Phrynocephalus,mystaceus,,,,,"(Pallas, 1776)","The nominate subspecies <em>Phrynocephalus mystaceus mystaceus</em> is found in Europe, ranging as far east as the Volga River sands inclusive.&#160;<br/>Wide mtDNA sampling of this species across its range suggests that two deeply divergent clades exist, one isolated in the Khorasan region of northeastern Iran and the other in the remainder of its Middle Asian range, a pattern previously found with more limited sampling using other genetic markers (Solovyeva <em>et al. </em>2018). Solovyeva <em>et al</em>. (2018) ""tentatively"" elect to describe the Khorasan lineage as a subspecies, <em>P. m. khorasanus</em>,&#160;rather than a full species due to weak morphological differentiation from populations elsewhere and the existence of both morphologically and genetically intermediate populations in the Caspian and Middle Asian regions. At the same time, this work found that the two previously recognized subspecies - <em>P. m. galli </em>and <em>P. m. aurantiacocaudatus</em>&#160;- are not supported by either mtDNA or morphological data. Solovyeva<em> et al. </em>(2020) consequently synonymized them with the nominate form, while recommending further research to clarify the claimed morphological distinctiveness of the latter (based on characters they were unable to examine in preserved material)."
157256,Natrix tessellata,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,NATRICIDAE,Natrix,tessellata,,,,,"(Laurenti, 1768)","Six genetically and geographically distinct lineages have been identified in <em>Natrix tessellata</em>, and some or all of these may warrant specific recognition following further research (Guiking <em>et al</em>. 2004)."
157260,Eremias arguta,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Eremias,arguta,,,,,"(Pallas, 1773)","There are six recognized subspecies: <em>Eremias arguta arguta</em> (Pallas, 1773) is distributed in Kazakhstan; <em>E a. deserti </em>(Gmelin, 1789) is found in the west of the species range from the Ural River in the west to the eastern parts of the North Caucasus in the southwest (this subspecies is present in Romania, Moldova and Ukraine); <em>E. a. transcaucasica</em> Darevsky, 1953 inhabits eastern parts of Transcaucasia; <em>E. a. uzbekistanica </em>Chernov, 1934 is present in Uzbekistan and the frontier regions of Turkmenistan, southern Kazakhstan, Kyrgyzstan and Tajikistan; <em>E. a. darevskii</em> Tsaruk, 1986 is restricted to the Issyk Kul Depression in Kyrgyzstan; <em>E. a. potanini </em>Bedrjaga, 1912 is found in the area adjacent to Balkhash Lake and the Zaisan Depression in Kazakhstan. mtDNA results provide no justification for recognizing this latter form as distinct, and Poyarkov <em>et al</em>. (2014) indicate that this should be considered a junior synonym of the nominate subspecies. An unnamed form within from the Ili River Valley has been found to be distinct both genetically and morphologically (Orlova <em>et al</em>. 2012, Poyarkov <em>et al</em>. 2014), being sister to all other <em>E. arguta</em>, and may represent an undescribed species (Poyarkov<em> et al</em>. 2014)."
157269,Eryx miliaris,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,BOIDAE,Eryx,miliaris,,,,,"(Pallas, 1773)","This species exhibits close similarities to <em>Eryx tataricus</em>, and the two are difficult to distinguish (Ezkandarzadeh <em>et al. </em>2013). Ezkandarzadeh <em>et al.</em> (2013) attribute records of <em>E. tataricus</em> from Khorasan Province in northeastern Iran to<em> E. miliaris </em><span style=""background-color: white;"">(also see Mohammad<em> et al. </em>2017).</span> The distribution of the two taxa elsewhere is in need of clarification: Zhao and Adler (1993) provide a ""composite range"" for the complex in China as the separate ranges of the two taxa in this country cannot be identified. Ezkandarzadeh <em>et al.</em> (2013) outline the distribution of both species and report both from Mongolia,&#160;however Zhao and Adler (1993) and Terbish <em>et al</em>. (2006) consider that only <em>E. tataricus</em> occurs in this country. Cryptic species may exist within the <em>E. miliaris</em>-<em>tataricus</em> complex, based on the finding by Ezkandarzadeh <em>et al</em>. (2013) that two Iranian specimens (to which they applied the name <em>Eryx</em> cf. <em>miliaris</em>) could not confidently be referred to this taxon. In the northwestern (Russian) part of its range, the subspecies <em>E. m. nogaiorum</em> is recogniz<span style=""background-color: white;"">ed;&#160;however recent phylogenetic research implies that this population must be considered invalid (Eskandarzadeh <em>et al.</em> 2020).&#160; The same study suggests tha</span><span style=""background-color: rgb(255, 255, 255);"">t&#160;</span><em>E. tataricus</em><span style=""background-color: rgb(255, 255, 255);"">&#160;represents a junior synonym of&#160;</span><em>E. miliaris&#160;</em><span style=""background-color: rgb(255, 255, 255);"">(Eskandarzadeh&#160;</span><em>et al.</em><span style=""background-color: rgb(255, 255, 255);"">&#160;2020), but this account retains it as valid pending further research to confirm this assignment given the complex taxonomic history of these names and the need for wider sampling outside Iran.</span>"
157275,Elaphe dione,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Elaphe,dione,,,,,"(Pallas, 1773)","The validity of subspecies described from western Siberia and the Altai region, <em>E. d. niger</em> Golubeva, 1923 and <em>E. d. tenebrosa</em> Sobolevsky, 1929, is disputed."
