"X","name","result.category","result.published_year"
1,"Ablepharus deserti","LC",2019
2,"Abroscopus albogularis","LC",2016
3,"Abroscopus schisticeps","LC",2016
4,"Abroscopus superciliaris","LC",2016
5,"Acanthosaura lepidogaster","LC",2019
6,"Accipiter badius","LC",2021
7,"Accipiter gentilis","LC",2021
8,"Accipiter gularis","LC",2021
9,"Accipiter nisus","LC",2021
10,"Accipiter soloensis","LC",2021
11,"Accipiter trivirgatus","LC",2016
12,"Accipiter virgatus","LC",2021
13,"Aceros nipalensis","VU",2020
14,"Achalinus ater","LC",2012
15,"Achalinus formosanus","LC",2017
16,"Achalinus hainanus","VU",2017
17,"Achalinus jinggangensis","CR",2014
18,"Achalinus meiguensis","LC",2012
19,"Achalinus niger","LC",2012
20,"Achalinus rufescens","LC",2012
21,"Achalinus spinalis","LC",2017
22,"Acridotheres albocinctus","LC",2017
23,"Acridotheres burmannicus","LC",2016
24,"Acridotheres cristatellus","LC",2016
25,"Acridotheres ginginianus","LC",2018
26,"Acridotheres grandis","LC",2016
27,"Acridotheres tristis","LC",2017
28,"Acrocephalus agricola","LC",2017
29,"Acrocephalus arundinaceus","LC",2017
30,"Acrocephalus bistrigiceps","LC",2017
31,"Acrocephalus concinens","LC",2017
32,"Acrocephalus dumetorum","LC",2017
33,"Acrocephalus orientalis","LC",2016
34,"Acrocephalus schoenobaenus","LC",2016
35,"Acrocephalus scirpaceus","LC",2019
36,"Acrocephalus stentoreus","LC",2019
37,"Acrocephalus tangorum","VU",2017
38,"Acrochordus granulatus","LC",2022
39,"Actinodura egertoni","LC",2018
40,"Actinodura radcliffei","LC",2016
41,"Actitis hypoleucos","LC",2016
42,"Aegithalos bonvaloti","LC",2016
43,"Aegithalos caudatus","LC",2016
44,"Aegithalos concinnus","LC",2016
45,"Aegithalos fuliginosus","LC",2017
46,"Aegithalos glaucogularis","LC",2016
47,"Aegithalos iouschistos","LC",2018
48,"Aegithalos iredalei","LC",2018
49,"Aegithina lafresnayei","LC",2016
50,"Aegithina tiphia","LC",2016
51,"Aegolius funereus","LC",2021
52,"Aegypius monachus","NT",2021
53,"Aeretes melanopterus","NT",2016
54,"Aerodramus brevirostris","LC",2017
55,"Aerodramus fuciphagus","LC",2016
56,"Aethopyga christinae","LC",2016
57,"Aethopyga gouldiae","LC",2016
58,"Aethopyga ignicauda","LC",2018
59,"Aethopyga latouchii","LC",2016
60,"Aethopyga nipalensis","LC",2016
61,"Aethopyga saturata","LC",2016
62,"Aethopyga siparaja","LC",2016
63,"Agraphospiza rubescens","LC",2016
64,"Agropsar sturninus","LC",2016
65,"Ahaetulla prasina","LC",2021
66,"Ailuropoda melanoleuca","VU",2016
67,"Ailurus fulgens","EN",2015
68,"Aipysurus eydouxii","LC",2010
69,"Aix galericulata","LC",2018
70,"Alauda arvensis","LC",2018
71,"Alauda gulgula","LC",2016
72,"Alaudala rufescens","LC",2019
73,"Alauda leucoptera","LC",2018
74,"Alcedo atthis","LC",2016
75,"Alcedo hercules","NT",2016
76,"Alcedo meninting","LC",2016
77,"Alces alces","LC",2016
78,"Alcippe morrisonia","LC",2016
79,"Alcippe nipalensis","LC",2018
80,"Alcippe poioicephala","LC",2017
81,"Alcurus striatus","LC",2016
82,"Alectoris chukar","LC",2019
83,"Alectoris magna","LC",2016
84,"Alexandrinus krameri","LC",2018
85,"Allactaga balikunica","LC",2016
86,"Allactaga bullata","LC",2016
87,"Allactaga major","LC",2016
88,"Allactaga sibirica","LC",2016
89,"Alligator sinensis","CR",2018
90,"Allocricetulus curtatus","LC",2016
91,"Allocricetulus eversmanni","LC",2016
92,"Alophoixus flaveolus","LC",2016
93,"Alophoixus pallidus","LC",2017
94,"Alsophylax pipiens","LC",2019
95,"Alsophylax przewalskii","LC",2019
96,"Alticola argentatus","LC",2016
97,"Alticola barakshin","LC",2016
98,"Alticola macrotis","LC",2016
99,"Alticola semicanus","LC",2016
100,"Alticola stoliczkanus","LC",2016
101,"Alticola strelzowi","LC",2016
102,"Altiphylax stoliczkai","LC",2021
103,"Amandava amandava","LC",2016
104,"Amaurornis phoenicurus","LC",2016
105,"Amolops albispinus","VU",2020
106,"Amolops aniqiaoensis","VU",2020
107,"Amolops bellulus","DD",2004
108,"Amolops chayuensis","DD",2020
109,"Amolops chunganensis","LC",2020
110,"Amolops daiyunensis","NT",2020
111,"Amolops formosus","LC",2004
112,"Amolops gerbillus","LC",2004
113,"Amolops granulosus","LC",2020
114,"Amolops hainanensis","EN",2020
115,"Amolops hongkongensis","EN",2021
116,"Amolops jinjiangensis","LC",2020
117,"Amolops kaulbacki","DD",2021
118,"Amolops lifanensis","LC",2020
119,"Amolops loloensis","VU",2020
120,"Amolops longimanus","DD",2021
121,"Amolops mantzorum","LC",2020
122,"Amolops marmoratus","LC",2004
123,"Amolops medogensis","EN",2020
124,"Amolops mengdingensis","DD",2020
125,"Amolops mengyangensis","LC",2008
126,"Amolops minutus","EN",2017
127,"Amolops monticola","LC",2004
128,"Amolops nyingchiensis","NT",2020
129,"Amolops ricketti","LC",2004
130,"Amolops shuichengicus","DD",2020
131,"Amolops splendissimus","VU",2017
132,"Amolops torrentis","VU",2020
133,"Amolops tuberodepressus","VU",2020
134,"Amolops viridimaculatus","NT",2004
135,"Amolops wenshanensis","DD",2020
136,"Amolops wuyiensis","LC",2020
137,"Amolops xinduqiao","LC",2020
138,"Amolops yunkaiensis","NT",2020
139,"Ampeliceps coronatus","LC",2017
140,"Amphiesmoides ornaticeps","LC",2012
141,"Anas acuta","LC",2019
142,"Anas crecca","LC",2020
143,"Anas platyrhynchos","LC",2019
144,"Anas poecilorhyncha","LC",2016
145,"Anas zonorhyncha","LC",2018
146,"Andrias davidianus","CR",2004
147,"Anorrhinus austeni","NT",2018
148,"Anourosorex squamipes","LC",2016
149,"Anourosorex yamashinai","LC",2016
150,"Anser anser","LC",2018
151,"Anser cygnoid","VU",2016
152,"Anser fabalis","LC",2018
153,"Anser indicus","LC",2018
154,"Anthipes monileger","LC",2016
155,"Anthracoceros albirostris","LC",2020
156,"Anthropoides virgo","LC",2018
157,"Anthus campestris","LC",2018
158,"Anthus godlewskii","LC",2016
159,"Anthus gustavi","LC",2018
160,"Anthus hodgsoni","LC",2016
161,"Anthus richardi","LC",2019
162,"Anthus roseatus","LC",2019
163,"Anthus rubescens","LC",2019
164,"Anthus rufulus","LC",2016
165,"Anthus spinoletta","LC",2018
166,"Anthus sylvanus","LC",2018
167,"Anthus trivialis","LC",2018
168,"Aonyx cinereus","VU",2021
169,"Apodemus agrarius","LC",2016
170,"Apodemus chevrieri","LC",2016
171,"Apodemus draco","LC",2016
172,"Apodemus latronum","LC",2016
173,"Apodemus pallipes","LC",2016
174,"Apodemus peninsulae","LC",2016
175,"Apodemus semotus","LC",2016
176,"Apodemus uralensis","LC",2016
177,"Apus apus","LC",2016
178,"Apus nipalensis","LC",2016
179,"Apus pacificus","LC",2019
180,"Aquila chrysaetos","LC",2021
181,"Aquila fasciata","LC",2019
182,"Aquila heliaca","VU",2019
183,"Aquila nipalensis","EN",2021
184,"Arachnothera longirostra","LC",2016
185,"Arachnothera magna","LC",2016
186,"Arborophila ardens","VU",2016
187,"Arborophila atrogularis","NT",2016
188,"Arborophila brunneopectus","LC",2016
189,"Arborophila crudigularis","LC",2016
190,"Arborophila gingica","NT",2016
191,"Arborophila mandellii","NT",2022
192,"Arborophila rufipectus","EN",2016
193,"Arborophila rufogularis","LC",2016
194,"Arborophila torqueola","LC",2018
195,"Archelaphe bella","LC",2018
196,"Arctictis binturong","VU",2016
197,"Arctogalidia trivirgata","LC",2016
198,"Arctonyx albogularis","LC",2016
199,"Arctonyx collaris","VU",2016
200,"Ardea alba","LC",2019
201,"Ardea cinerea","LC",2019
202,"Ardea intermedia","LC",2020
203,"Ardea purpurea","LC",2019
204,"Ardenna pacifica","LC",2018
205,"Ardeola bacchus","LC",2016
206,"Argyrophis diardii","LC",2021
207,"Argyrophis koshunensis","DD",2012
