"lizard_ntaxa.x","lizard_mpd.obs","lizard_mpd.rand.mean","lizard_mpd.rand.sd","lizard_mpd.obs.rank","lizard_mpd.obs.z","lizard_mpd.obs.p","lizard_runs.x","lizard_NRI","grid_id","lizard_ntaxa.y","lizard_mntd.obs","lizard_mntd.rand.mean","lizard_mntd.rand.sd","lizard_mntd.obs.rank","lizard_mntd.obs.z","lizard_mntd.obs.p","lizard_runs.y","lizard_NTI"
4,142.891168333333,333.496789850517,38.2686311007452,3,-4.98072745312993,0.003,999,4.98072745312993,10000,4,107.053876,267.035238928428,65.1144025244554,14,-2.4569274496275,0.014,999,2.4569274496275
4,142.891168333333,333.496789850517,38.2686311007452,3,-4.98072745312993,0.003,999,4.98072745312993,10001,4,107.053876,267.035238928428,65.1144025244554,14,-2.4569274496275,0.014,999,2.4569274496275
4,142.891168333333,333.496789850517,38.2686311007452,3,-4.98072745312993,0.003,999,4.98072745312993,10002,4,107.053876,267.035238928428,65.1144025244554,14,-2.4569274496275,0.014,999,2.4569274496275
4,142.891168333333,333.496789850517,38.2686311007452,3,-4.98072745312993,0.003,999,4.98072745312993,10003,4,107.053876,267.035238928428,65.1144025244554,14,-2.4569274496275,0.014,999,2.4569274496275
2,173.694858,330.740581447447,92.8570901240817,119.5,-1.69126259758509,0.1195,999,1.69126259758509,10004,2,173.694858,330.594862452452,93.8783896214128,124,-1.67131120468927,0.124,999,1.67131120468927
3,162.241486,331.533637506173,54.2108029652943,23,-3.12284899403821,0.023,999,3.12284899403821,10005,3,150.788114,292.09119489623,78.9215614082114,33,-1.79042429438716,0.033,999,1.79042429438716
2,173.694858,330.740581447447,92.8570901240817,119.5,-1.69126259758509,0.1195,999,1.69126259758509,10006,2,173.694858,330.594862452452,93.8783896214128,124,-1.67131120468927,0.124,999,1.67131120468927
2,173.694858,330.740581447447,92.8570901240817,119.5,-1.69126259758509,0.1195,999,1.69126259758509,10007,2,173.694858,330.594862452452,93.8783896214128,124,-1.67131120468927,0.124,999,1.67131120468927
4,142.891168333333,333.496789850517,38.2686311007452,3,-4.98072745312993,0.003,999,4.98072745312993,10008,4,107.053876,267.035238928428,65.1144025244554,14,-2.4569274496275,0.014,999,2.4569274496275
4,142.891168333333,333.496789850517,38.2686311007452,3,-4.98072745312993,0.003,999,4.98072745312993,10009,4,107.053876,267.035238928428,65.1144025244554,14,-2.4569274496275,0.014,999,2.4569274496275
4,142.891168333333,333.496789850517,38.2686311007452,3,-4.98072745312993,0.003,999,4.98072745312993,10010,4,107.053876,267.035238928428,65.1144025244554,14,-2.4569274496275,0.014,999,2.4569274496275
5,126.398591,333.646962472472,30.7780645312091,1,-6.73363886355888,0.001,999,6.73363886355888,10011,5,88.5310496,243.727071881882,55.9644794231256,4,-2.77311651750578,0.004,999,2.77311651750578
5,126.398591,333.646962472472,30.7780645312091,1,-6.73363886355888,0.001,999,6.73363886355888,10012,5,88.5310496,243.727071881882,55.9644794231256,4,-2.77311651750578,0.004,999,2.77311651750578
5,126.398591,333.646962472472,30.7780645312091,1,-6.73363886355888,0.001,999,6.73363886355888,10013,5,88.5310496,243.727071881882,55.9644794231256,4,-2.77311651750578,0.004,999,2.77311651750578
5,126.398591,333.646962472472,30.7780645312091,1,-6.73363886355888,0.001,999,6.73363886355888,10014,5,88.5310496,243.727071881882,55.9644794231256,4,-2.77311651750578,0.004,999,2.77311651750578
5,126.398591,333.646962472472,30.7780645312091,1,-6.73363886355888,0.001,999,6.73363886355888,10015,5,88.5310496,243.727071881882,55.9644794231256,4,-2.77311651750578,0.004,999,2.77311651750578
5,126.398591,333.646962472472,30.7780645312091,1,-6.73363886355888,0.001,999,6.73363886355888,10016,5,88.5310496,243.727071881882,55.9644794231256,4,-2.77311651750578,0.004,999,2.77311651750578
3,134.994222666667,334.303428146813,52.1216930276457,11,-3.8239204043973,0.011,999,3.8239204043973,10017,3,96.2935873333333,298.815055669002,78.0883965613632,4,-2.59348990699949,0.004,999,2.59348990699949
3,134.994222666667,334.303428146813,52.1216930276457,11,-3.8239204043973,0.011,999,3.8239204043973,10018,3,96.2935873333333,298.815055669002,78.0883965613632,4,-2.59348990699949,0.004,999,2.59348990699949
3,134.994222666667,334.303428146813,52.1216930276457,11,-3.8239204043973,0.011,999,3.8239204043973,10019,3,96.2935873333333,298.815055669002,78.0883965613632,4,-2.59348990699949,0.004,999,2.59348990699949
3,134.994222666667,334.303428146813,52.1216930276457,11,-3.8239204043973,0.011,999,3.8239204043973,10020,3,96.2935873333333,298.815055669002,78.0883965613632,4,-2.59348990699949,0.004,999,2.59348990699949
4,142.891168333333,333.496789850517,38.2686311007452,3,-4.98072745312993,0.003,999,4.98072745312993,10099,4,107.053876,267.035238928428,65.1144025244554,14,-2.4569274496275,0.014,999,2.4569274496275
4,142.891168333333,333.496789850517,38.2686311007452,3,-4.98072745312993,0.003,999,4.98072745312993,10100,4,107.053876,267.035238928428,65.1144025244554,14,-2.4569274496275,0.014,999,2.4569274496275
4,142.891168333333,333.496789850517,38.2686311007452,3,-4.98072745312993,0.003,999,4.98072745312993,10101,4,107.053876,267.035238928428,65.1144025244554,14,-2.4569274496275,0.014,999,2.4569274496275
4,142.891168333333,333.496789850517,38.2686311007452,3,-4.98072745312993,0.003,999,4.98072745312993,10102,4,107.053876,267.035238928428,65.1144025244554,14,-2.4569274496275,0.014,999,2.4569274496275
