"mammal_ntaxa.x","mammal_mpd.obs","mammal_mpd.rand.mean","mammal_mpd.rand.sd","mammal_mpd.obs.rank","mammal_mpd.obs.z","mammal_mpd.obs.p","mammal_runs.x","mammal_NRI","grid_id","mammal_ntaxa.y","mammal_mntd.obs","mammal_mntd.rand.mean","mammal_mntd.rand.sd","mammal_mntd.obs.rank","mammal_mntd.obs.z","mammal_mntd.obs.p","mammal_runs.y","mammal_NTI"
54,159.948042466806,165.253598373152,1.77905411931235,3,-2.98223412584922,0.003,999,2.98223412584922,10000,54,48.7753808148148,58.2435502254477,4.75617474819141,26,-1.99071100451749,0.026,999,1.99071100451749
54,159.89571493501,165.264523866189,1.80490069908594,8,-2.97457302437607,0.008,999,2.97457302437607,10001,54,45.5515582592593,58.2336291052534,4.71459822733982,3,-2.68995792100612,0.003,999,2.68995792100612
52,159.157118674208,165.273399295357,1.85932679852987,4,-3.28951350885981,0.004,999,3.28951350885981,10002,52,43.4565016538462,59.020232994302,4.82621558592573,1,-3.22483135354396,0.001,999,3.22483135354396
52,159.189299561086,165.273315711189,1.88814126684661,5,-3.22222508290614,0.005,999,3.22222508290614,10003,52,41.7893183461538,59.0279538747979,4.81144493514106,1,-3.58283961700138,0.001,999,3.58283961700138
54,160.537744048917,165.28024966194,1.82406740222806,15,-2.59996182555005,0.015,999,2.59996182555005,10004,54,45.2700993703704,58.3823794633522,4.67096960313822,3,-2.80718591792426,0.003,999,2.80718591792426
55,160.402158084848,165.257185024281,1.80572747576789,13,-2.68868198805455,0.013,999,2.68868198805455,10005,55,46.0502159636364,58.0085032682865,4.61598091214595,4,-2.59062754639745,0.004,999,2.59062754639745
54,160.692252215234,165.23154789798,1.82045801469414,15,-2.49349100397038,0.015,999,2.49349100397038,10006,54,45.442235962963,58.3202588845512,4.7178683775233,4,-2.72962742728078,0.004,999,2.72962742728078
49,162.128970971088,165.210536381804,1.97036643294201,68,-1.56395549538163,0.068,999,1.56395549538163,10007,49,46.8163346530612,60.3547455055464,5.20542504963936,5,-2.60082716077587,0.005,999,2.60082716077587
48,163.171595620567,165.259730599131,1.95321490716179,138,-1.06907589682384,0.138,999,1.06907589682384,10008,48,48.4436092083333,60.7275308813397,5.16343903466813,8,-2.379019407517,0.008,999,2.379019407517
45,162.893231462626,165.247856135344,2.0210517640269,127,-1.16504916629479,0.127,999,1.16504916629479,10009,45,53.5562828888889,62.1572212310088,5.41117247457933,50,-1.58947776706906,0.05,999,1.58947776706906
45,163.049631254545,165.234692303234,2.00981080139506,136,-1.08719738553069,0.136,999,1.08719738553069,10010,45,51.3383392444444,62.1055769653654,5.31740958050152,18,-2.02490283246253,0.018,999,2.02490283246253
43,162.27905633887,165.180913713533,2.10595532747276,92,-1.37792921663963,0.092,999,1.37792921663963,10011,43,50.2382622790698,63.2072057061713,5.46346487842655,6,-2.37375799345058,0.006,999,2.37375799345058
41,163.473225660976,165.18212005904,2.19602508976183,215,-0.778176172044223,0.215,999,0.778176172044223,10012,41,47.8240147804878,64.2069382055714,5.71364061929436,3,-2.86733529752645,0.003,999,2.86733529752645
42,163.942192678281,165.157229075191,2.17266260281135,265,-0.559238418030513,0.265,999,0.559238418030513,10013,42,50.3152551428571,63.7194114592688,5.61769382766322,6,-2.38606031720802,0.006,999,2.38606031720802
43,164.296232172757,165.166518499626,2.12280267052741,319,-0.409970431520212,0.319,999,0.409970431520212,10014,43,53.4012083255814,63.1174598376516,5.52555435175421,41,-1.75842112728211,0.041,999,1.75842112728211
48,162.944325746454,165.182703136717,1.99109729323658,126,-1.12419287488706,0.126,999,1.12419287488706,10015,48,52.0670941666667,60.8534601395979,5.10167148288097,44,-1.72225240343573,0.044,999,1.72225240343573
49,162.628339891156,165.211650032069,1.95151112599436,97,-1.32374861024474,0.097,999,1.32374861024474,10016,49,54.4794371428571,60.5095017422729,5.20401889436455,129,-1.15873226477823,0.129,999,1.15873226477823
45,161.532732850505,165.190136569893,2.06417945037378,51,-1.77184387661925,0.051,999,1.77184387661925,10017,45,56.9710298222222,62.2958076859526,5.55182044791143,167,-0.959104840239125,0.167,999,0.959104840239125
46,161.500258137198,165.200997287284,2.0339802087299,50,-1.81945681388768,0.05,999,1.81945681388768,10018,46,56.8502245652174,61.8033407743396,5.4234611194071,176,-0.91327587680091,0.176,999,0.91327587680091
45,160.21158170303,165.218129021655,2.09056765804043,20,-2.39482673491539,0.02,999,2.39482673491539,10019,45,56.5224921333333,62.347237971972,5.48185251223923,133,-1.06255062967014,0.133,999,1.06255062967014
46,159.423706057971,165.242372551502,2.05794105521371,14,-2.82742135825022,0.014,999,2.82742135825022,10020,46,52.6088959130435,61.9896423469121,5.39654736629616,40,-1.73828668538251,0.04,999,1.73828668538251
51,161.122123499608,165.218686637532,1.87705916964947,20,-2.18243686941889,0.02,999,2.18243686941889,10099,51,48.6954528235294,59.357650294098,4.97615631158958,16,-2.14265726455098,0.016,999,2.14265726455098
49,158.550174982993,165.222267188591,1.88706266016485,1,-3.53570252140686,0.001,999,3.53570252140686,10100,49,51.8951311020408,60.2146676998223,5.08423875135835,53,-1.6363386938819,0.053,999,1.6363386938819
53,159.264801281567,165.258363946911,1.8125185684835,3,-3.30675931797959,0.003,999,3.30675931797959,10101,53,51.0600027169811,58.5845548230495,4.8385263741973,58,-1.55513301450519,0.058,999,1.55513301450519
56,160.219910568831,165.255595488376,1.73306451124881,7,-2.90565347502053,0.007,999,2.90565347502053,10102,56,46.9381924285714,57.5243984680752,4.67456716891646,11,-2.2646387691029,0.011,999,2.2646387691029
54,159.89571493501,165.264523866189,1.80490069908594,8,-2.97457302437607,0.008,999,2.97457302437607,10103,54,45.5515582592593,58.2336291052534,4.71459822733982,3,-2.68995792100612,0.003,999,2.68995792100612
55,159.712285560943,165.276325444654,1.77882159669161,6,-3.12793587286087,0.006,999,3.12793587286087,10104,55,44.2011337454545,57.9726541306397,4.64539412508037,3,-2.96455370941145,0.003,999,2.96455370941145
55,159.712285560943,165.276325444654,1.77882159669161,6,-3.12793587286087,0.006,999,3.12793587286087,10105,55,44.2011337454545,57.9726541306397,4.64539412508037,3,-2.96455370941145,0.003,999,2.96455370941145
57,160.118319991228,165.275199856596,1.74859656419762,11,-2.94915360750135,0.011,999,2.94915360750135,10106,57,43.9860628070175,57.3167387839067,4.49435946036884,2,-2.96609029483262,0.002,999,2.96609029483262
52,159.807556998492,165.260107626566,1.84598963014586,7,-2.95372765861296,0.007,999,2.95372765861296,10107,52,49.7031009230769,59.1425557506738,4.85243715175455,26,-1.94530182100013,0.026,999,1.94530182100013
53,160.623687306241,165.233044818693,1.85529523781122,13,-2.48443343060057,0.013,999,2.48443343060057,10108,53,47.3127317735849,58.7228314022324,4.76266779923355,10,-2.39573703429068,0.01,999,2.39573703429068
49,161.781811710884,165.234371570062,1.96247904102202,58,-1.75928495897721,0.058,999,1.75928495897721,10109,49,49.4091075510204,60.3615831878,5.24684653869768,16,-2.08743967562241,0.016,999,2.08743967562241
45,162.552287589899,165.246154617104,2.05726265151122,108,-1.30944244052947,0.108,999,1.30944244052947,10110,45,52.0164484888889,62.232822807919,5.38790193559788,33,-1.89616931435417,0.033,999,1.89616931435417
44,163.092882983087,165.258416316887,2.06102863894005,143,-1.05070511534166,0.143,999,1.05070511534166,10111,44,53.7766752727273,62.6671720839021,5.53192574258952,49,-1.60712511788221,0.049,999,1.60712511788221
44,163.331144331924,165.24458985899,2.04625131066138,173,-0.935098009270278,0.173,999,0.935098009270278,10112,44,51.5083238181818,62.6172617960688,5.42494011143035,17,-2.04775310873579,0.017,999,2.04775310873579
41,163.186153502439,165.181783482337,2.17097205796067,177,-0.919233378698023,0.177,999,0.919233378698023,10113,41,50.3850306341463,64.2463524381455,5.76288891011406,7,-2.40527312259517,0.007,999,2.40527312259517
41,163.498847329268,165.177527681355,2.1831782575469,216,-0.768915843808591,0.216,999,0.768915843808591,10114,41,51.2915939512195,64.2852711219024,5.75309127858173,11,-2.25855571231022,0.011,999,2.25855571231022
