taxa	binomial	name	count	result.accepted_id	result.authority	result.synonym	result.syn_authority
AMPHIBIA_ANURA_RANIDAE_Amolops_albispinus	Amolops albispinus	NA	NA	NA	NA	NA	NA
AMPHIBIA_ANURA_RANIDAE_Amolops_aniqiaoensis	Amolops aniqiaoensis	NA	NA	NA	NA	NA	NA
AMPHIBIA_ANURA_RANIDAE_Amolops_bellulus	Amolops bellulus	NA	NA	NA	NA	NA	NA
AMPHIBIA_ANURA_RANIDAE_Amolops_chayuensis	Amolops chayuensis	NA	NA	NA	NA	NA	NA
AMPHIBIA_ANURA_RANIDAE_Amolops_chunganensis	Amolops chunganensis	Amolops chunganensis	2	58205	(Pope, 1929)	Rana_chunganensis	Pope, 1929
AMPHIBIA_ANURA_RANIDAE_Amolops_chunganensis	Amolops chunganensis	Amolops chunganensis	2	58205	(Pope, 1929)	Staurois_chunganensis	(Pope, 1929)
AMPHIBIA_ANURA_RANIDAE_Amolops_daiyunensis	Amolops daiyunensis	Amolops daiyunensis	1	135800	(Liu &amp; Hu, 1975)	Staurois_daiyunensis	Liu & Hu, 1975
AMPHIBIA_ANURA_RANIDAE_Amolops_formosus	Amolops formosus	Amolops formosus	2	58206	(Günther, 1876)	Amolops_himalayanus	(Boulenger, 1888)
AMPHIBIA_ANURA_RANIDAE_Amolops_formosus	Amolops formosus	Amolops formosus	2	58206	(Günther, 1876)	Polypedates_formosus	Günther, 1876
AMPHIBIA_ANURA_RANIDAE_Amolops_gerbillus	Amolops gerbillus	Amolops gerbillus	1	58207	(Annandale, 1912)	Rana_gerbillus	Annandale, 1912
AMPHIBIA_ANURA_RANIDAE_Amolops_granulosus	Amolops granulosus	Amolops granulosus	1	58208	(Liu &amp; Hu, 1961)	Staurois_granulosus	Liu & Hu, 1961
AMPHIBIA_ANURA_RANIDAE_Amolops_hainanensis	Amolops hainanensis	NA	NA	NA	NA	NA	NA
AMPHIBIA_ANURA_RANIDAE_Amolops_hongkongensis	Amolops hongkongensis	Amolops hongkongensis	1	58210	(Pope &amp; Romer, 1951)	Staurois_hongkongensis	Pope & Romer, 1951
AMPHIBIA_ANURA_RANIDAE_Amolops_jinjiangensis	Amolops jinjiangensis	NA	NA	NA	NA	NA	NA
