"taxa"	"result.synonym"
"AMPHIBIA_ANURA_RANIDAE_Amolops_gerbillus"	"Rana_gerbillus"
"AMPHIBIA_ANURA_RANIDAE_Amolops_kaulbacki"	NA
"AMPHIBIA_ANURA_RANIDAE_Amolops_longimanus"	NA
"AMPHIBIA_ANURA_RANIDAE_Amolops_minutus"	NA
"AMPHIBIA_ANURA_RHACOPHORIDAE_Buergeria_choui"	NA
"AMPHIBIA_ANURA_BUFONIDAE_Bufo_ailaoanus"	"Torrentophryne_ailaoanus"
"AMPHIBIA_ANURA_BUFONIDAE_Bufo_luchunnicus"	"Torrentophryne_luchunnica"
"AMPHIBIA_ANURA_BUFONIDAE_Bufo_menglianus"	"Torrentophryne_mengliana"
"AMPHIBIA_CAUDATA_SALAMANDRIDAE_Cynops_chenggongensis"	"Hypselotriton_chenggongensis"
"AMPHIBIA_CAUDATA_SALAMANDRIDAE_Cynops_wolterstorffi"	"Hypselotriton_wolterstorffi"
"AMPHIBIA_CAUDATA_SALAMANDRIDAE_Cynops_wolterstorffi"	"Molge_wolterstorffi"
"AMPHIBIA_CAUDATA_SALAMANDRIDAE_Cynops_yunnanensis"	"Cynops_cyanurus"
"AMPHIBIA_CAUDATA_SALAMANDRIDAE_Cynops_yunnanensis"	"Hypselotriton_yunnanensis"
"AMPHIBIA_ANURA_RHACOPHORIDAE_Feihyla_fuhua"	NA
"AMPHIBIA_ANURA_RANIDAE_Hylarana_margariana"	"Rana_margariana"
"AMPHIBIA_ANURA_DICROGLOSSIDAE_Ingerana_reticulata"	"Platymantis_reticulatus"
"AMPHIBIA_ANURA_BUFONIDAE_Ingerophrynus_ledongensis"	"Bufo_ledongensis"
"AMPHIBIA_ANURA_MEGOPHRYIDAE_Leptobrachella_maoershanensis"	"Leptolalax_maoershanensis"
"AMPHIBIA_ANURA_MEGOPHRYIDAE_Leptobrachella_purpura"	"Leptolalax_purpurus"
"AMPHIBIA_ANURA_MEGOPHRYIDAE_Leptobrachella_sungi"	"Leptolalax_sungi"
"AMPHIBIA_ANURA_MEGOPHRYIDAE_Leptobrachella_tengchongensis"	"Leptolalax_tengchongensis"
"AMPHIBIA_ANURA_DICROGLOSSIDAE_Limnonectes_liui"	"Ingerana_liui"
"AMPHIBIA_ANURA_DICROGLOSSIDAE_Limnonectes_liui"	"Leptopelis_liui"
"AMPHIBIA_ANURA_DICROGLOSSIDAE_Limnonectes_liui"	"Platymantis_liui"
"AMPHIBIA_ANURA_MEGOPHRYIDAE_Megophrys_feii"	NA
"AMPHIBIA_ANURA_MEGOPHRYIDAE_Megophrys_koui"	"Ophryophryne_pachyproctus"
"AMPHIBIA_ANURA_MEGOPHRYIDAE_Megophrys_liboensis"	"Xenophrys_liboensis"
"AMPHIBIA_ANURA_MEGOPHRYIDAE_Megophrys_shuichengensis"	"Xenophrys_shuichengensis"
"AMPHIBIA_ANURA_DICROGLOSSIDAE_Nanorana_feae"	"Paa_feae"
"AMPHIBIA_ANURA_DICROGLOSSIDAE_Nanorana_minica"	"Paa_minica_minica"
"AMPHIBIA_ANURA_DICROGLOSSIDAE_Nanorana_minica"	"Rana_minica"
"AMPHIBIA_ANURA_DICROGLOSSIDAE_Nanorana_minica"	"Rana_tuberculata"
"AMPHIBIA_ANURA_RANIDAE_Odorrana_cangyuanensis"	"Rana_cangyuanensis"
"AMPHIBIA_ANURA_DICROGLOSSIDAE_Ombrana_sikimensis"	"Rana_assamensis"
"AMPHIBIA_ANURA_DICROGLOSSIDAE_Ombrana_sikimensis"	"Rana_sikimensis"
"AMPHIBIA_ANURA_MEGOPHRYIDAE_Oreolalax_granulosus"	NA
"AMPHIBIA_ANURA_MEGOPHRYIDAE_Oreolalax_puxiongensis"	NA
"AMPHIBIA_ANURA_MEGOPHRYIDAE_Oreolalax_weigoldi"	"Megalophrys_weigoldi"
"AMPHIBIA_ANURA_RANIDAE_Papurana_milleti"	"Hylarana_milleti"
"AMPHIBIA_ANURA_RANIDAE_Papurana_milleti"	"Indosylvirana_milleti"
"AMPHIBIA_ANURA_RANIDAE_Papurana_milleti"	"Rana_bannanica"
"AMPHIBIA_ANURA_RANIDAE_Papurana_milleti"	"Rana_milleti"
"AMPHIBIA_ANURA_RANIDAE_Pelophylax_tenggerensis"	"Rana_tenggerensis"
"AMPHIBIA_ANURA_RHACOPHORIDAE_Philautus_kempii"	NA
"AMPHIBIA_ANURA_RHACOPHORIDAE_Philautus_maosonensis"	NA
"AMPHIBIA_ANURA_RHACOPHORIDAE_Philautus_tytthus"	NA
"AMPHIBIA_ANURA_DICROGLOSSIDAE_Quasipaa_acanthophora"	NA
"AMPHIBIA_ANURA_RANIDAE_Rana_chevronta"	NA
"AMPHIBIA_ANURA_RANIDAE_Rana_luanchuanensis"	NA
"AMPHIBIA_ANURA_RHACOPHORIDAE_Raorchestes_andersoni"	"Ixalus_tuberculatus"
"AMPHIBIA_ANURA_RHACOPHORIDAE_Raorchestes_andersoni"	"Philautus_andersoni"
"AMPHIBIA_ANURA_RHACOPHORIDAE_Raorchestes_andersoni"	"Theloderma_andersoni"
"AMPHIBIA_ANURA_RHACOPHORIDAE_Rhacophorus_laoshan"	NA
"AMPHIBIA_ANURA_MEGOPHRYIDAE_Scutiger_adungensis"	NA
"AMPHIBIA_ANURA_MEGOPHRYIDAE_Scutiger_brevipes"	"Aelurophryne_brevipes"
"AMPHIBIA_ANURA_MEGOPHRYIDAE_Scutiger_maculatus"	"Aelurophryne_maculata"
"AMPHIBIA_ANURA_MEGOPHRYIDAE_Scutiger_pingwuensis"	NA
"AMPHIBIA_ANURA_MEGOPHRYIDAE_Scutiger_wanglangensis"	NA
"AMPHIBIA_ANURA_RHACOPHORIDAE_Zhangixalus_arvalis"	"Rhacophorus_arvalis"
"AMPHIBIA_ANURA_RHACOPHORIDAE_Zhangixalus_aurantiventris"	"Rhacophorus_aurantiventris"
"AMPHIBIA_ANURA_RHACOPHORIDAE_Zhangixalus_chenfui"	"Polypedates_chenfui"
"AMPHIBIA_ANURA_RHACOPHORIDAE_Zhangixalus_chenfui"	"Rhacophorus_chenfui"
"AMPHIBIA_ANURA_RHACOPHORIDAE_Zhangixalus_dennysi"	"Rhacophorus_dennysi"
"AMPHIBIA_ANURA_RHACOPHORIDAE_Zhangixalus_hui"	"Polypedates_zhaojuensis"
"AMPHIBIA_ANURA_RHACOPHORIDAE_Zhangixalus_hui"	"Rhacophorus_hui"
"AMPHIBIA_ANURA_RHACOPHORIDAE_Zhangixalus_hui"	"Rhacophorus_zhaojuensis"
"AMPHIBIA_ANURA_RHACOPHORIDAE_Zhangixalus_hungfuensis"	"Polypedates_hungfuensis"
"AMPHIBIA_ANURA_RHACOPHORIDAE_Zhangixalus_hungfuensis"	"Rhacophorus_hungfuensis"
"AMPHIBIA_ANURA_RHACOPHORIDAE_Zhangixalus_leucofasciatus"	"Rhacophorus_leucofasciatus"
"AMPHIBIA_ANURA_RHACOPHORIDAE_Zhangixalus_lishuiensis"	"Rhacophorus_lishuiensis"
"AMPHIBIA_ANURA_RHACOPHORIDAE_Zhangixalus_minimus"	"Rhacophorus_minimus"
"AMPHIBIA_ANURA_RHACOPHORIDAE_Zhangixalus_nigropunctatus"	"Polypedates_nigropunctatus"
"AMPHIBIA_ANURA_RHACOPHORIDAE_Zhangixalus_nigropunctatus"	"Rhacophorus_nigropunctatus"
"AMPHIBIA_ANURA_RHACOPHORIDAE_Zhangixalus_prasinatus"	"Rhacophorus_prasinatus"
"AMPHIBIA_ANURA_RHACOPHORIDAE_Zhangixalus_prasinatus"	"Rhacophorus_smaragdinus"
"AMPHIBIA_ANURA_RHACOPHORIDAE_Zhangixalus_wui"	"Rhacophorus_wui"
"AMPHIBIA_ANURA_RHACOPHORIDAE_Zhangixalus_yaoshanensis"	"Polypedates_yaoshanensis"
"AMPHIBIA_ANURA_RHACOPHORIDAE_Zhangixalus_yaoshanensis"	"Rhacophorus_yaoshanensis"
"AMPHIBIA_ANURA_RHACOPHORIDAE_Zhangixalus_yinggelingensis"	"Rhacophorus_yinggelingensis"
"AVES_PASSERIFORMES_STURNIDAE_Acridotheres_burmannicus"	NA
"AVES_PASSERIFORMES_LEIOTRICHIDAE_Actinodura_radcliffei"	NA
"AVES_PASSERIFORMES_AEGITHALIDAE_Aegithalos_iredalei"	NA
"AVES_PASSERIFORMES_NECTARINIIDAE_Aethopyga_latouchii"	NA
"AVES_PASSERIFORMES_FRINGILLIDAE_Agraphospiza_rubescens"	"Carpodacus_rubescens"
"AVES_PASSERIFORMES_STURNIDAE_Agropsar_philippensis"	"Sturnus_philippensis"
"AVES_PASSERIFORMES_ALAUDIDAE_Alauda_leucoptera"	"Melanocorypha_leucoptera"
"AVES_PASSERIFORMES_ALAUDIDAE_Alaudala_rufescens"	"Alaudala_cheleensis"
"AVES_PASSERIFORMES_PYCNONOTIDAE_Alcurus_striatus"	"Pycnonotus_striatus"
"AVES_PSITTACIFORMES_PSITTACIDAE_Alexandrinus_krameri"	"Psittacula_krameri"
"AVES_ANSERIFORMES_ANATIDAE_Anser_cygnoid"	"Anser_cygnoides"
"AVES_STRIGIFORMES_STRIGIDAE_Bubo_coromandus"	NA
"AVES_CHARADRIIFORMES_SCOLOPACIDAE_Calidris_falcinellus"	"Limicola_falcinellus"
"AVES_PASSERIFORMES_MUSCICAPIDAE_Calliope_tschebaiewi"	NA
"AVES_PASSERIFORMES_FRINGILLIDAE_Carpodacus_dubius"	NA
"AVES_PASSERIFORMES_FRINGILLIDAE_Carpodacus_sipahi"	"Haematospiza_sipahi"
"AVES_PASSERIFORMES_FRINGILLIDAE_Carpodacus_stoliczkae"	NA
"AVES_PASSERIFORMES_FRINGILLIDAE_Carpodacus_subhimachalus"	"Pinicola_subhimachala"
"AVES_PASSERIFORMES_FRINGILLIDAE_Carpodacus_subhimachalus"	"Pinicola_subhimachalus_"
"AVES_PASSERIFORMES_FRINGILLIDAE_Carpodacus_verreauxii"	NA
"AVES_PASSERIFORMES_FRINGILLIDAE_Carpodacus_waltoni"	NA
"AVES_PASSERIFORMES_SYLVIIDAE_Chleuasicus_atrosuperciliaris"	"Paradoxornis_atrosuperciliaris"
"AVES_PASSERIFORMES_CHLOROPSEIDAE_Chloropsis_lazulina"	NA
"AVES_PASSERIFORMES_CHLOROPSEIDAE_Chloropsis_moluccensis"	NA
"AVES_PASSERIFORMES_SYLVIIDAE_Cholornis_paradoxus"	"Paradoxornis_paradoxus"
"AVES_PICIFORMES_PICIDAE_Chrysocolaptes_guttacristatus"	NA
"AVES_COLUMBIFORMES_COLUMBIDAE_Columba_eversmanni"	NA
"AVES_COLUMBIFORMES_COLUMBIDAE_Columba_punicea"	NA
"AVES_CORACIIFORMES_CORACIIDAE_Coracias_affinis"	NA
"AVES_PASSERIFORMES_MUSCICAPIDAE_Cyanecula_svecica"	"Luscinia_svecica"
"AVES_PASSERIFORMES_TIMALIIDAE_Cyanoderma_chrysaeum"	"Stachyris_chrysaea"
"AVES_PASSERIFORMES_MUSCICAPIDAE_Cyornis_brunneatus"	NA
"AVES_PASSERIFORMES_HIRUNDINIDAE_Delichon_lagopodum"	NA
"AVES_PASSERIFORMES_HIRUNDINIDAE_Delichon_nipalense"	"Delichon_nipalensis_"
"AVES_PASSERIFORMES_DICRURIDAE_Dicrurus_annectens"	"Dicrurus_annectans"
"AVES_PICIFORMES_PICIDAE_Dryobates_pernyii"	NA
"AVES_PASSERIFORMES_EMBERIZIDAE_Emberiza_lathami"	"Melophus_lathami"
"AVES_PASSERIFORMES_TIMALIIDAE_Erythrogenys_erythrocnemis"	"Pomatorhinus_erythrocnemis"
"AVES_PASSERIFORMES_TIMALIIDAE_Erythrogenys_hypoleucos"	"Pomatorhinus_hypoleucos"
"AVES_CHARADRIIFORMES_BURHINIDAE_Esacus_recurvirostris"	"Burhinus_recurvirostris"
"AVES_PASSERIFORMES_MUSCICAPIDAE_Ficedula_erithacus"	"Ficedula_sordida"
"AVES_PASSERIFORMES_MUSCICAPIDAE_Ficedula_hodgsoni"	"Muscicapella_hodgsoni"
"AVES_PASSERIFORMES_SYLVIIDAE_Fulvetta_striaticollis"	"Alcippe_striaticollis"
"AVES_CHARADRIIFORMES_SCOLOPACIDAE_Gallinago_nemoricola"	NA
"AVES_PASSERIFORMES_PELLORNEIDAE_Gampsorhynchus_torquatus"	NA
"AVES_PASSERIFORMES_LEIOTRICHIDAE_Garrulax_cinereiceps"	NA
"AVES_PASSERIFORMES_LEIOTRICHIDAE_Garrulax_monachus"	NA
"AVES_PASSERIFORMES_LEIOTRICHIDAE_Garrulax_ruficeps"	NA
"AVES_PASSERIFORMES_CORVIDAE_Garrulus_bispecularis"	NA
"AVES_PASSERIFORMES_CORVIDAE_Garrulus_leucotis"	NA
