AMPHIBIA_ANURA_RANIDAE_Amolops_gerbillus	AMPHIBIA_ANURA_RANIDAE_Rana_gerbillus
AMPHIBIA_ANURA_RANIDAE_Amolops_kaulbacki	AMPHIBIA_ANURA_RANIDAE_Amolops_kaulbacki
AMPHIBIA_ANURA_RANIDAE_Amolops_longimanus	AMPHIBIA_ANURA_RANIDAE_Amolops_longimanus
AMPHIBIA_ANURA_RANIDAE_Amolops_minutus	AMPHIBIA_ANURA_RANIDAE_Amolops_minutus
AMPHIBIA_ANURA_RHACOPHORIDAE_Buergeria_choui	AMPHIBIA_ANURA_RHACOPHORIDAE_Buergeria_choui
AMPHIBIA_ANURA_BUFONIDAE_Bufo_ailaoanus	AMPHIBIA_ANURA_BUFONIDAE_Torrentophryne_ailaoanus
AMPHIBIA_ANURA_BUFONIDAE_Bufo_luchunnicus	AMPHIBIA_ANURA_BUFONIDAE_Torrentophryne_luchunnica
AMPHIBIA_ANURA_BUFONIDAE_Bufo_menglianus	AMPHIBIA_ANURA_BUFONIDAE_Torrentophryne_mengliana
AMPHIBIA_CAUDATA_SALAMANDRIDAE_Cynops_chenggongensis	AMPHIBIA_CAUDATA_SALAMANDRIDAE_Hypselotriton_chenggongensis
AMPHIBIA_CAUDATA_SALAMANDRIDAE_Cynops_wolterstorffi	AMPHIBIA_CAUDATA_SALAMANDRIDAE_Hypselotriton_wolterstorffi
AMPHIBIA_CAUDATA_SALAMANDRIDAE_Cynops_wolterstorffi	AMPHIBIA_CAUDATA_SALAMANDRIDAE_Molge_wolterstorffi
AMPHIBIA_CAUDATA_SALAMANDRIDAE_Cynops_yunnanensis	AMPHIBIA_CAUDATA_SALAMANDRIDAE_Cynops_cyanurus
AMPHIBIA_CAUDATA_SALAMANDRIDAE_Cynops_yunnanensis	AMPHIBIA_CAUDATA_SALAMANDRIDAE_Hypselotriton_yunnanensis
AMPHIBIA_ANURA_RHACOPHORIDAE_Feihyla_fuhua	AMPHIBIA_ANURA_RHACOPHORIDAE_Feihyla_fuhua
AMPHIBIA_ANURA_RANIDAE_Hylarana_margariana	AMPHIBIA_ANURA_RANIDAE_Rana_margariana
AMPHIBIA_ANURA_DICROGLOSSIDAE_Ingerana_reticulata	AMPHIBIA_ANURA_DICROGLOSSIDAE_Platymantis_reticulatus
AMPHIBIA_ANURA_BUFONIDAE_Ingerophrynus_ledongensis	AMPHIBIA_ANURA_BUFONIDAE_Bufo_ledongensis
AMPHIBIA_ANURA_MEGOPHRYIDAE_Leptobrachella_maoershanensis	AMPHIBIA_ANURA_MEGOPHRYIDAE_Leptolalax_maoershanensis
AMPHIBIA_ANURA_MEGOPHRYIDAE_Leptobrachella_purpura	AMPHIBIA_ANURA_MEGOPHRYIDAE_Leptolalax_purpurus
AMPHIBIA_ANURA_MEGOPHRYIDAE_Leptobrachella_sungi	AMPHIBIA_ANURA_MEGOPHRYIDAE_Leptolalax_sungi
AMPHIBIA_ANURA_MEGOPHRYIDAE_Leptobrachella_tengchongensis	AMPHIBIA_ANURA_MEGOPHRYIDAE_Leptolalax_tengchongensis
AMPHIBIA_ANURA_DICROGLOSSIDAE_Limnonectes_liui	AMPHIBIA_ANURA_DICROGLOSSIDAE_Ingerana_liui
AMPHIBIA_ANURA_DICROGLOSSIDAE_Limnonectes_liui	AMPHIBIA_ANURA_DICROGLOSSIDAE_Leptopelis_liui
AMPHIBIA_ANURA_DICROGLOSSIDAE_Limnonectes_liui	AMPHIBIA_ANURA_DICROGLOSSIDAE_Platymantis_liui
AMPHIBIA_ANURA_MEGOPHRYIDAE_Megophrys_feii	AMPHIBIA_ANURA_MEGOPHRYIDAE_Megophrys_feii
AMPHIBIA_ANURA_MEGOPHRYIDAE_Megophrys_koui	AMPHIBIA_ANURA_MEGOPHRYIDAE_Ophryophryne_pachyproctus
AMPHIBIA_ANURA_MEGOPHRYIDAE_Megophrys_liboensis	AMPHIBIA_ANURA_MEGOPHRYIDAE_Xenophrys_liboensis
AMPHIBIA_ANURA_MEGOPHRYIDAE_Megophrys_shuichengensis	AMPHIBIA_ANURA_MEGOPHRYIDAE_Xenophrys_shuichengensis
AMPHIBIA_ANURA_DICROGLOSSIDAE_Nanorana_feae	AMPHIBIA_ANURA_DICROGLOSSIDAE_Paa_feae
AMPHIBIA_ANURA_DICROGLOSSIDAE_Nanorana_minica	AMPHIBIA_ANURA_DICROGLOSSIDAE_Paa_minica_minica
AMPHIBIA_ANURA_DICROGLOSSIDAE_Nanorana_minica	AMPHIBIA_ANURA_DICROGLOSSIDAE_Rana_minica
AMPHIBIA_ANURA_DICROGLOSSIDAE_Nanorana_minica	AMPHIBIA_ANURA_DICROGLOSSIDAE_Rana_tuberculata
AMPHIBIA_ANURA_RANIDAE_Odorrana_cangyuanensis	AMPHIBIA_ANURA_RANIDAE_Rana_cangyuanensis
AMPHIBIA_ANURA_DICROGLOSSIDAE_Ombrana_sikimensis	AMPHIBIA_ANURA_DICROGLOSSIDAE_Rana_assamensis
AMPHIBIA_ANURA_DICROGLOSSIDAE_Ombrana_sikimensis	AMPHIBIA_ANURA_DICROGLOSSIDAE_Rana_sikimensis
AMPHIBIA_ANURA_MEGOPHRYIDAE_Oreolalax_granulosus	AMPHIBIA_ANURA_MEGOPHRYIDAE_Oreolalax_granulosus
AMPHIBIA_ANURA_MEGOPHRYIDAE_Oreolalax_puxiongensis	AMPHIBIA_ANURA_MEGOPHRYIDAE_Oreolalax_puxiongensis
AMPHIBIA_ANURA_MEGOPHRYIDAE_Oreolalax_weigoldi	AMPHIBIA_ANURA_MEGOPHRYIDAE_Megalophrys_weigoldi
AMPHIBIA_ANURA_RANIDAE_Papurana_milleti	AMPHIBIA_ANURA_RANIDAE_Hylarana_milleti
