Family,Species,Name_in_Tonini_et_al_2016,Male_size_mm,Female_size_mm,Male_mass_g,Female_mass_g,Clutch_size,body_size,habitat_use,habitat_specialization,leg_development,reproductive_mode,activity_time
Scincidae,Ablepharus alaicus,Asymblepharus alaicus,46,51.9,1.737801,2.570396,4,8.35,3,4,1,2,2
Scincidae,Ablepharus deserti,Ablepharus deserti,47.3,54.2,1.905461,2.951209,4.5,NA,2,NA,1,1,2
Agamidae,Acanthosaura armata,Acanthosaura armata,100.5,108,33.88442,42.65795,14.5,10.66,4,1,1,1,2
Agamidae,Acanthosaura lepidogaster,Acanthosaura lepidogaster,78.5,82.25,15.84893,18.19701,15,9.94,4,4,1,1,2
Agamidae,Acanthosaura tongbiguanensis,NA,109.45,105.27,44.66836,38.90451,NA,NA,2,NA,1,NA,2
Gekkonidae,Alsophylax pipiens,Alsophylax pipiens,33.17,36,0.912011,1.122018,1,6.05,3,3,1,1,1
Gekkonidae,Alsophylax przewalskii,Alsophylax przewalskii,32,31.5,0.812831,0.776247,1.5,5.62,3,1,1,1,1
Gekkonidae,Altiphylax stoliczkai,Altiphylax stoliczkai,49,50,2.630268,2.818383,NA,NA,3,NA,1,1,1
Scincidae,Ateuchosaurus chinensis,Ateuchosaurus chinensis,76.5,76.17,9.120108,8.912509,13,9.75,2,1,1,1,3
Agamidae,Calotes emma,Calotes emma,100.5,104.83,33.88442,38.90451,7.5,10.31,4,1,1,1,2
Agamidae,Calotes jerdoni,Calotes jerdoni,93,102,26.91535,35.48134,15,10.43,4,2,1,1,2
Agamidae,Calotes medogensis,Calotes medogensis,NA,NA,NA,NA,14.33,8.76,4,2,1,1,2
Agamidae,Calotes mystaceus,Calotes mystaceus,120.21,113.11,58.88437,48.97788,7,11.03,4,3,1,1,2
Agamidae,Calotes paulus,Oriocalotes paulus,61.34,67.7,7.24436,10,NA,NA,NA,NA,1,1,2
Agamidae,Calotes versicolor,Calotes versicolor,89.76,89.09,23.98833,23.44229,20,10.87,4,4,1,1,2
Gekkonidae,Cyrtodactylus cayuensis,NA,66.8,71.6,6.309573,7.585776,4,NA,3,NA,1,NA,1
