Order,Family,Species,Body_mass_g,Hatchling_mass_g,Clutch_size, Clutches_per_year,Sexual_maturity_age_years,Longevity_years,Parity,Parthenogenetic_reproduction
Crocodilia,Alligatoridae,Alligator_mississippiensis,47800,76.6,35.2,0.35,11.375,73.1,1,0
Crocodilia,Alligatoridae,Alligator_sinensis,14600,48.2,25.7,0.75,5,60.7,1,0
Crocodilia,Alligatoridae,Caiman_crocodilus,10900,62.9,30.2,0.767,8,24.1,1,0
Crocodilia,Alligatoridae,Caiman_latirostris,14600,76.2,31.4,1,4.83,22,1,0
Crocodilia,Alligatoridae,Melanosuchus_niger,82000,143.6,39.3,1,6,15.3,1,0
Crocodilia,Alligatoridae,Paleosuchus_palpebrosus,5900,68.6,13.3,1,10,24.1,1,0
Crocodilia,Alligatoridae,Paleosuchus_trigonatus,7500,67.2,15.1,0.33,10,30.9,1,0
Crocodilia,Crocodylidae,Crocodylus_acutus,78700,112.8,35.6,0.679,8,32.9,1,0
Crocodilia,Crocodylidae,Crocodylus_intermedius,107900,110.4,39.8,0.8,12.5,21.8,1,0
Crocodilia,Crocodylidae,Crocodylus_johnstoni,19500,69.7,12.4,0.9,12,50,1,0
Crocodilia,Crocodylidae,Crocodylus_mindorensis,36900,73.6,18.3,NA,NA,NA,1,0
Crocodilia,Crocodylidae,Crocodylus_moreletii,31700,79.5,30.2,1,7.5,25.4,1,0
Crocodilia,Crocodylidae,Crocodylus_niloticus,94200,107.1,47.6,0.63,6,43.8,1,0
Crocodilia,Crocodylidae,Crocodylus_novaeguineae,39900,88.5,29.4,NA,NA,24.6,1,0
Crocodilia,Crocodylidae,Crocodylus_palustris,42700,99.5,23.4,1,6,31.5,1,0
Crocodilia,Crocodylidae,Crocodylus_porosus,78700,109.2,47.8,1,11,41.7,1,0
Crocodilia,Crocodylidae,Crocodylus_rhombifer,57500,104.3,25.4,1,10,38.2,1,0
Crocodilia,Crocodylidae,Crocodylus_siamensis,42500,106.9,28.4,NA,NA,21.9,1,0
Crocodilia,Crocodylidae,Mecistops_cataphractus,50500,146,19.5,1,12.5,56.1,1,0
Crocodilia,Crocodylidae,Osteolaemus_tetraspis,18800,55,11.15,1,5,70,1,0
Crocodilia,Gavialidae,Gavialis_gangeticus,147000,161.4,38.9,1,8,28.8,1,0
Crocodilia,Gavialidae,Tomistoma_schlegelii,119000,139.9,31.8,2,20,80,1,0
Rhynchocephalia,Sphenodontidae,Sphenodon_punctatus,430,4.63,9.4,0.2,12,91,0,0
Squamata,Acrochordidae,Acrochordus_arafurae,887.38,22.32897321,17,NA,NA,8.8,1,0
Squamata,Acrochordidae,Acrochordus_granulatus,92.67,9.018114549,NA,NA,NA,NA,1,0
Squamata,Acrochordidae,Acrochordus_javanicus,NA,16.59,27,1,NA,5.8,1,0
Squamata,Agamidae,Acanthocercus_atricollis,38.815,0.780447265,11.38666667,1,NA,10.9,0,0
Squamata,Agamidae,Acanthocercus_yemensis,36.18,NA,NA,NA,NA,NA,0,0
Squamata,Agamidae,Acanthosaura_armata,44.49,0.581575191,12,NA,NA,2.1,0,0
Squamata,Agamidae,Acanthosaura_capra,NA,NA,19.5,NA,NA,NA,0,0
Squamata,Agamidae,Acanthosaura_crucigera,NA,NA,14,NA,NA,2.6,0,0
Squamata,Agamidae,Acanthosaura_lepidogaster,17.27,0.375157038,13,NA,NA,NA,0,0
Squamata,Agamidae,Acanthosaura_nataliae,NA,NA,16,NA,NA,NA,0,0
Squamata,Agamidae,Agama_aculeata,14.5,0.420859804,12.775,2,NA,2.2,0,0
Squamata,Agamidae,Agama_agama,16.6075,0.643418133,8.12,2,1.265,8,0,0
Squamata,Agamidae,Agama_anchietae,NA,NA,11,NA,NA,NA,0,0
Squamata,Agamidae,Agama_armata,NA,NA,14.5,NA,NA,NA,0,0
Squamata,Agamidae,Agama_atra,15.69,0.375157038,12.5,NA,NA,NA,0,0
Squamata,Agamidae,Agama_boueti,16.01,0.553048292,9.3,NA,NA,NA,0,0
Squamata,Agamidae,Agama_caudospinosa,NA,NA,NA,NA,NA,9.6,0,0
Squamata,Agamidae,Agama_etoshae,NA,NA,9.5,NA,NA,2.1,0,0
Squamata,Agamidae,Agama_gracilimembris,3.31,0.407070008,NA,NA,NA,NA,0,0
Squamata,Agamidae,Agama_hartmanni,NA,NA,NA,NA,NA,2.1,0,0
Squamata,Agamidae,Agama_hispida,31.86,NA,13.55,NA,NA,NA,0,0
Squamata,Agamidae,Agama_impalearis,26.77,0.45612378,11.8,2.133333333,1,6,0,0
