Species,Species_origin,body_size,clutch_size,habitat_use,habitat_specialization,leg_development,reproductive_mode,activity_time
Acanthosaura armata,Acanthosaura armata,10.66,14.5,4,1,1,1,2
Acanthosaura lepidogaster,Acanthosaura lepidogaster,9.94,13,4,4,1,1,2
Alsophylax pipiens,Alsophylax pipiens,6.05,1.5,3,3,1,1,1
Alsophylax przewalskii,Alsophylax przewalskii,5.62,1.5,3,1,1,1,1
Ablepharus alaicus,Asymblepharus alaicus,8.35,4.5,3,4,1,2,2
Scincella himalayanus,Asymblepharus himalayanus,8.62,2.75,2,1,1,2,2
Scincella ladacensis,Asymblepharus ladacensis,8.62,2.5,3,4,1,2,2
Scincella sikimmensis,Asymblepharus sikimmensis,7.86,5,2,1,1,1,2
Ateuchosaurus chinensis,Ateuchosaurus chinensis,9.75,2.3,2,1,1,1,3
Calotes emma,Calotes emma,10.31,7.5,4,1,1,1,2
Calotes jerdoni,Calotes jerdoni,10.43,15,4,2,1,1,2
Calotes medogensis,Calotes medogensis,8.76,14.33,4,2,1,1,2
Calotes mystaceus,Calotes mystaceus,11.03,7,4,3,1,1,2
Calotes versicolor,Calotes versicolor,10.87,13.65,4,4,1,1,2
Cyrtodactylus tibetanus,Cyrtodactylus tibetanus,6.77,1.9,2,2,1,1,1
Dibamus bogadeki,Dibamus bogadeki,7.74,10.36,2,2,2,1,1
Dibamus bourreti,Dibamus bourreti,7.74,10.36,2,1,2,1,1
Dopasia gracilis,Dopasia gracilis,11.72,5,2,2,2,1,3
Dopasia hainanensis,Dopasia hainanensis,11.12,21,2,1,2,1,2
Dopasia harti,Dopasia harti,11.13,6,2,1,2,1,2
Draco blanfordii,Draco blanfordii,8.65,5.1,4,1,1,1,2
Draco maculatus,Draco maculatus,7.75,3.6,4,2,1,1,2
Emoia atrocostata,Emoia atrocostata,9.75,1.95,2,1,1,1,2
Eremias argus,Eremias argus,7.89,3.25,2,6,1,1,2
Eremias arguta,Eremias arguta,9.05,3.98,2,5,1,1,2
Eremias brenchleyi,Eremias brenchleyi,7.95,4,2,3,1,1,2
Eremias grammica,Eremias grammica,9.05,3.5,2,3,1,1,2
Eremias multiocellata,Eremias multiocellata,8.31,2.85,2,3,1,2,2
Eremias przewalskii,Eremias przewalskii,8.99,3.55,2,4,1,2,2
Eremias velox,Eremias velox,8.86,4,2,5,1,1,2
Eremias vermiculata,Eremias vermiculata,8.07,1.5,2,3,1,1,2
Eremias yarkandensis,Eremias yarkandensis,7.59,4,3,4,1,2,2
Eutropis longicaudata,Eutropis longicaudata,10.83,6.68,3,2,1,1,2
Eutropis multicarinata,Eutropis multicarinata,9.65,2.42,2,1,1,1,2
Eutropis multifasciata,Eutropis multifasciata,10.83,4.9,2,4,1,2,2
Gehyra mutilata,Gehyra mutilata,7.24,1.8,4,1,1,1,1
Gekko chinensis,Gekko chinensis,7.86,2,4,2,1,1,1
Gekko gecko,Gekko gecko,10.65,2,4,2,1,1,1
Gekko hokouensis,Gekko hokouensis,8.02,2,4,3,1,1,1
Gekko japonicus,Gekko japonicus,8.02,1.95,3,3,1,1,1
Gekko kikuchii,Gekko kikuchii,7.86,2,4,3,1,1,1
Gekko liboensis,Gekko liboensis,8.01,2,3,1,1,1,1
Gekko melli,Gekko melli,8.01,1.95,4,2,1,1,1
Gekko reevesii,Gekko reevesii,9.99,1.95,4,2,1,1,1
Gekko scabridus,Gekko scabridus,7.75,1.95,3,1,1,1,1
Gekko subpalmatus,Gekko subpalmatus,7.92,2,4,2,1,1,1
Gekko swinhonis,Gekko swinhonis,7.64,2,4,1,1,1,1
Gekko taibaiensis,Gekko taibaiensis,7.49,1.95,3,1,1,1,1
Gekko wenxianensis,Gekko wenxianensis,7.02,1.95,3,2,1,1,1
Goniurosaurus bawanglingensis,Goniurosaurus bawanglingensis,9.92,2,3,1,1,1,1
Goniurosaurus hainanensis,Goniurosaurus hainanensis,9.75,2,3,1,1,1,1
