Family,Species,Species_origin,Sample_Male_Famle,Male_size_mm,Female_size_mm,Male_mass_g,Female_mass_g,Clutch_size,References
Agamidae,Acanthosaura armata,Acanthosaura armata,"2,1",100.5,108,33.88442,42.65795,14.5,"Scharf & Meiri 2013, Shi et al. 2011"
Agamidae,Acanthosaura lepidogaster,Acanthosaura lepidogaster,"47+,60+",78.5,82.25,15.84893,18.19701,15,"Shi et al. 2011, Shen et al. 2014, Zhao et al. 1999; measured in XJAU"
Agamidae,Acanthosaura tongbiguanensis,Acanthosaura tongbiguanensis,NA,109.45,105.27,44.66836,38.90451,NA,"Liu & Rao, 2019"
Agamidae,Calotes emma,Calotes emma,"20,23",100.5,104.83,33.88442,38.90451,7.5,Zhao et al. 1999
Agamidae,Calotes jerdoni,Calotes jerdoni,NA,93,102,26.91535,35.48134,NA,Zhao et al. 1999
Agamidae,Calotes mystaceus,Calotes mystaceus,"37,27",120.21,113.11,58.88437,48.97788,7,Zhao et al. 1999
Agamidae,Calotes paulus,Calotes paulus,"7,2",61.34,67.7,7.24436,10,NA,Giri et al. 2019
Agamidae,Calotes versicolor,Calotes versicolor,"247,162",89.76,89.09,23.98833,23.44229,20,Zhao et al. 1999
Agamidae,Diploderma batangense,Diploderma batangense,"6,5",58.5,58.6,6.309573,6.309573,NA,Wang et al. 2016
Agamidae,Diploderma brevicaudum,Diploderma brevicaudum,"1,2",48,62,3.388442,7.585776,NA,Manthey et al. 2012
Agamidae,Diploderma chapaense,Diploderma chapaense,"1,2",62.15,72.38,7.585776,12.30269,4.3,Wang & Ren et al. 2019b
Agamidae,Diploderma drukdaypo,Diploderma drukdaypo,"2,6",50.67,54.32,4.073803,5.011872,NA,Wang et al. 2019c
Agamidae,Diploderma dymondi,Diploderma dymondi,"17+,11+",81.15,80.27,17.37801,16.98244,6.5,"Zhao 2003, Yang & Rao. 2008. Wang et al. 2019a"
Agamidae,Diploderma fasciatum,Diploderma fasciatum,NA,74.6,66,13.48963,9.120108,7,"Zhao 2003, Shen et al. 2014"
