Family,Species,Name_in_Tonini_et_al_2016,Max_SVL,Log10_BM,Max_based_on,References
Agamidae,Acanthosaura armata,Acanthosaura armata,118,1.75,Male,Scharf & Meiri 2013
Agamidae,Acanthosaura lepidogaster,Acanthosaura lepidogaster,107,1.62,Female,Zhao et al 1999
Agamidae,Acanthosaura tongbiguanensis,NA,109.45,1.65,Male,Liu & Rao 2019
Agamidae,Calotes emma,Calotes emma,125,1.82,Female,Yang & Rao 2008
Agamidae,Calotes jerdoni,Calotes jerdoni,102,1.55,Male,Yang & Rao 2008
Agamidae,Calotes medogensis,Calotes medogensis,76,1.15,Male,Zhao & Li 1984
Agamidae,Calotes mystaceus,Calotes mystaceus,140,1.98,Male,Yang & Rao 2008
Agamidae,Calotes versicolor,Calotes versicolor,105,1.59,Female,Shi et al 2011
Agamidae,Diploderma batangense,Japalura batangensis,64,0.92,Female,Wang et al 2016a
Agamidae,Diploderma brevicaudum,Japalura brevicauda,64,0.92,Female,Manthey et al 2012
Agamidae,Diploderma brevipes,Japalura brevipes,71,1.06,Female,Ota 1989
Agamidae,Diploderma chapaense,NA,72.38,1.09,Female,Wang  et al 2019a
Agamidae,Diploderma drukdaypo,NA,58.93,0.81,Female,Wang et al 2019b
Agamidae,Diploderma dymondi,Japalura dymondi,98,1.5,Female,Yang & Rao 2008
Agamidae,Diploderma fasciatum,Japalura fasciata,82,1.26,Male,Zhao 2003
Agamidae,Diploderma flaviceps,Japalura flaviceps,81,1.24,Male,Zhao 2003
Agamidae,Diploderma grahami,Japalura grahami,51,0.62,Male,Zhao 2003
Agamidae,Diploderma iadinum,NA,65,0.94,Male,Wang et al 2016a
Agamidae,Diploderma laeviventre,NA,72,1.08,Male,Wang et al 2016a
Agamidae,Diploderma luei,Japalura luei,71.5,1.07,Male,Scharf & Meiri 2013
Agamidae,Diploderma makii,Japalura makii,78.7,1.2,Male,Scharf & Meiri 2013
Agamidae,Diploderma menghaiense,NA,82.1,1.26,Female,Liu et al 2020
Agamidae,Diploderma micangshanense,Japalura micangshanensis,72,1.08,Female,Zhao 2003
Agamidae,Diploderma polygonatum,Japalura polygonata,80.2,1.23,Male,Scharf & Meiri 2013
Agamidae,Diploderma slowinskii,NA,99.5,1.52,Male,Wang et al 2019c
Agamidae,Diploderma splendidum,Japalura splendida,100,1.52,Male,Zhao 2003
Agamidae,Diploderma swild,NA,76.8,1.17,Female,Wang et al 2019c
Agamidae,Diploderma swinhonis,Japalura swinhonis,82.7,1.27,Male,Scharf & Meiri 2013
Agamidae,Diploderma varcoae,Japalura varcoae,77,1.17,Male,Yang & Rao 2008
Agamidae,Diploderma vela,NA,69,1.02,Male,Wang et al 2016a
Agamidae,Diploderma yulongense,Japalura yulongensis,60,0.84,Male,Manthey et al 2012
Agamidae,Diploderma yunnanense,Japalura yunnanensis,77,1.17,Male,Yang & Rao 2008
Agamidae,Diploderma zhaoermii,Japalura zhaoermii,85,1.3,Male,Zhao 2003
Agamidae,Draco blanfordii,Draco blanfordii,102,1.55,Male,Zhao et al 1999
Agamidae,Draco maculatus,Draco maculatus,85,1.3,Male,Shi et al 2011
Agamidae,Japalura andersoniana,Japalura andersoniana,63,0.9,Female,Li et al 2010
Agamidae,Japalura tricarinata,Japalura tricarinata,70.52,1.05,Female,Wang et al 2018
Agamidae,Laudakia himalayana,Paralaudakia himalayana,345,3.19,Male,measured by Lei Shi in XJAU
Agamidae,Laudakia papenfussi,Laudakia papenfussi,124,1.81,Male,Zhao et al 1999
Agamidae,Laudakia sacra,Laudakia sacra,120.57,1.78,Male,Zhao et al 1999
Agamidae,Laudakia stoliczkana,Paralaudakia stoliczkana,145.97,2.03,Female,measured by Lei Shi in XJAU
Agamidae,Laudakia tuberculata,Laudakia tuberculata,122,1.79,Male,Li et al 2010
Agamidae,Laudakia wui,Laudakia wui,142,2,Male,Li et al 2010
Agamidae,Leiolepis reevesii,Leiolepis reevesii,138,1.96,Male,Shi et al 2011
Agamidae,Calotes paulus,Oriocalotes paulus,71.3,1.07,Male,Giri et al 2019
Agamidae,Phrynocephalus alpherakii,NA,49.82,0.58,Female,measured by Liang Tao in XJAU
Agamidae,Phrynocephalus axillaris,Phrynocephalus axillaris,56.5,0.75,Male,Wang 2011
Agamidae,Phrynocephalus erythrurus,Phrynocephalus erythrurus,64.4,0.93,Female,Wang 2011
Agamidae,Phrynocephalus forsythii,Phrynocephalus forsythii,60.3,0.84,Female,Wang 2011
Agamidae,Phrynocephalus frontalis,NA,59.4,0.82,Female,Qu et al 2011
Agamidae,Phrynocephalus grumgrzimailoi,NA,64.94,0.941851,0.94,Liu & Shi 2009
Agamidae,Phrynocephalus helioscopus,Phrynocephalus helioscopus,49.2,0.57,Female,Xu et al 2015
Agamidae,Phrynocephalus melanurus,Phrynocephalus guttatus,45,0.45,Female,Zhao et al 1999
Agamidae,Phrynocephalus mystaceus,Phrynocephalus mystaceus,81.32,1.25,Male,measured in XJAU
Agamidae,Phrynocephalus nasatus,NA,46,0.48,Female,Zhao et al 1999
Agamidae,Phrynocephalus przewalskii,Phrynocephalus przewalskii,66.5,0.97,Male,Wang 2011
Agamidae,Phrynocephalus putjatai,Phrynocephalus putjatai,67.7,1,Female,Wang 2011
Agamidae,Phrynocephalus theobaldi,Phrynocephalus theobaldi,53.7,0.69,Female,Wang 2011
