Species,Aquatic,Herbivorous,Nocturnal,Scansorial,Fossorial,Large,Terrestrial,Archetype,Archetype_without_mass,Archetype_without_activity
Ablepharus bivittatus,0,0,0.001,0.979,0,0.02,0,Scansorial,Scansorial,Scansorial
Ablepharus budaki,0,0,0,0,0,0.109,0.891,Terrestrial,Terrestrial,Terrestrial
Ablepharus chernovi,0,0,0,0.98,0.001,0,0.019,Scansorial,Scansorial,Scansorial
Ablepharus deserti,0,0,0,0,0,0.165,0.835,Terrestrial,Terrestrial,Terrestrial
Ablepharus grayanus,0,0,0,0.012,0,0.022,0.966,Terrestrial,Terrestrial,Terrestrial
Ablepharus kitaibelii,0,0,0,0,0,0.161,0.839,Terrestrial,Terrestrial,Terrestrial
Ablepharus pannonicus,0,0,0,0,0,0.146,0.854,Terrestrial,Terrestrial,Terrestrial
Ablepharus rueppellii,0,0,0,0,0,0.132,0.868,Terrestrial,Terrestrial,Terrestrial
Abronia graminea,0.003,0,0.012,0.815,0,0.171,0,Scansorial,Scansorial,Scansorial
Abronia vasconcelosii,0.003,0,0.014,0.787,0,0.196,0,Scansorial,Scansorial,Scansorial
Acanthocercus adramitanus,0.005,0,0.024,0.634,0,0.337,0,Scansorial,Scansorial,Scansorial
Acanthocercus annectens,0.005,0,0.023,0.644,0,0.328,0,Scansorial,Scansorial,Scansorial
Acanthocercus atricollis,0.005,0,0.026,0.607,0,0.362,0,Scansorial,Scansorial,Scansorial
Acanthocercus cyanogaster,0.005,0,0.025,0.614,0,0.356,0,Scansorial,Scansorial,Scansorial
Acanthocercus phillipsii,0.004,0,0.017,0.738,0,0.241,0,Scansorial,Scansorial,Scansorial
Acanthocercus yemensis,0,0.732,0,0,0,0.268,0,Herbivorous,Herbivorous,Herbivorous
Acanthodactylus aegyptius,0,0,0,0,0,0.151,0.849,Terrestrial,Terrestrial,Terrestrial
Acanthodactylus aureus,0,0,0,0,0,0.227,0.773,Terrestrial,Terrestrial,Terrestrial
Acanthodactylus beershebensis,0,0,0,0,0,0.287,0.713,Terrestrial,Terrestrial,Terrestrial
Acanthodactylus blanci,0,0,0,0,0,0.3,0.7,Terrestrial,Terrestrial,Terrestrial
Acanthodactylus blanfordii,0,0,0,0,0,0.242,0.758,Terrestrial,Terrestrial,Terrestrial
Acanthodactylus boskianus,0,0,0,0,0,0.3,0.7,Terrestrial,Terrestrial,Terrestrial
Acanthodactylus cantoris,0,0,0,0,0,0.298,0.702,Terrestrial,Terrestrial,Terrestrial
Acanthodactylus dumerilii,0,0,0,0,0,0.217,0.783,Terrestrial,Terrestrial,Terrestrial
Acanthodactylus erythrurus,0,0,0,0,0,0.271,0.729,Terrestrial,Terrestrial,Terrestrial
Acanthodactylus felicis,0,0,0,0,0,0.207,0.793,Terrestrial,Terrestrial,Terrestrial
Acanthodactylus gongrorhynchatus,0,0,0,0,0,0.207,0.793,Terrestrial,Terrestrial,Terrestrial
Acanthodactylus grandis,0,0,0,0,0,0.321,0.679,Terrestrial,Terrestrial,Terrestrial
Acanthodactylus haasi,0.001,0,0.004,0.939,0,0.056,0,Scansorial,Scansorial,Scansorial
Acanthodactylus longipes,0,0,0,0,0,0.207,0.793,Terrestrial,Terrestrial,Terrestrial
Acanthodactylus maculatus,0,0,0,0,0,0.196,0.804,Terrestrial,Terrestrial,Terrestrial
Acanthodactylus masirae,0,0,0,0,0,0.151,0.849,Terrestrial,Terrestrial,Terrestrial
Acanthodactylus micropholis,0,0,0,0,0,0.207,0.793,Terrestrial,Terrestrial,Terrestrial
